status,n_codes,per_codes,n_events,per_events,db_name
mapped,1110,100%,NA,NA,source
not_mapped,333,-233%,NA,NA,source
mapped,1008,99.703%,7524124,99.434%,finngen
not_found,3,0.297%,42843,0.566%,finngen
