code,freq_finngen,freq_total
65000,45761,45761
50099,12916,12916
45499,6934,6934
25000,6297,6297
64199,6134,6134
46599,5704,5704
49300,5473,5473
Y6099,5080,5080
64091,4373,4373
21899,4208,4208
55099,3715,3715
64399,3551,3551
E8859,3209,3209
78559,3196,3196
00920,2977,2977
78551,2936,2936
72410,2669,2669
54099,2627,2627
72510,2525,2525
00000,2402,2402
62660,2357,2357
63497,2334,2334
63230,2304,2304
46309,2286,2286
45599,2243,2243
38100,2224,2224
40199,2211,2211
85000,2203,2203
62699,2158,2158
46100,1860,1860
73799,1786,1786
63701,1693,1693
66180,1692,1692
71238,1691,1691
69100,1690,1690
46699,1671,1671
65400,1648,1648
29599,1599,1599
48609,1520,1520
59010,1494,1494
30041,1491,1491
Y4300,1463,1463
84500,1450,1450
Y0599,1413,1413
84400,1396,1396
63499,1359,1359
72880,1348,1348
50499,1307,1307
63703,1287,1287
79199,1251,1251
57409,1217,1217
62620,1195,1195
65710,1195,1195
46099,1186,1186
62800,1178,1178
64594,1177,1177
29510,1158,1158
78020,1150,1150
49099,1096,1096
60500,1065,1065
Y0609,1062,1062
30300,1044,1044
82400,1044,1044
71239,1022,1022
59203,1008,1008
37301,995,995
64099,993,993
22099,982,982
48509,972,972
29580,953,953
30320,949,949
29530,947,947
30000,947,947
50199,941,941
72870,939,939
78050,930,930
Y4308,923,923
50301,915,915
54091,915,915
57401,913,913
62650,912,912
E9179,903,903
61520,888,888
78629,869,869
62530,866,866
61610,861,861
65006,860,860
42792,858,858
62532,858,858
30180,853,853
63496,838,838
Y0499,837,837
30188,834,834
67000,819,819
56310,816,816
13599,805,805
38110,804,804
35399,799,799
56500,786,786
65700,783,783
79399,768,768
Y1901,759,759
30310,755,755
Y4301,742,742
41399,714,714
57408,713,713
Y0399,711,711
64090,710,710
64190,705,705
71200,705,705
29570,703,703
29999,703,703
30088,701,701
30040,700,700
64598,695,695
49302,694,694
54090,693,693
38402,682,682
66100,675,675
24199,670,670
21900,660,660
E8849,660,660
E8191,657,657
46401,655,655
65300,653,653
E8190,634,634
Y0209,633,633
71301,630,630
45100,628,628
Y0699,628,628
73109,627,627
Y4302,622,622
27799,605,605
37300,603,603
34609,601,601
67008,592,592
54199,590,590
92200,586,586
42798,585,585
63494,579,579
E9509,573,573
61207,570,570
73398,569,569
28920,564,564
50709,556,556
21799,547,547
63702,544,544
34599,539,539
62670,522,522
63700,519,519
62630,510,510
59000,505,505
62550,501,501
62801,501,501
82321,493,493
71240,485,485
75210,481,481
68599,480,480
63150,478,478
13597,473,473
29560,470,470
25002,466,466
56109,466,466
62191,466,466
78880,460,460
69619,459,459
38401,456,456
62533,453,453
E9199,450,450
62200,449,449
78930,449,449
E8879,449,449
99810,448,448
92100,447,447
62698,440,440
79388,439,439
82300,438,438
46209,437,437
72908,437,437
50708,434,434
47099,433,433
65200,429,429
E8192,429,429
E8261,427,427
03400,424,424
E9399,423,423
41291,421,421
65210,419,419
41099,417,417
99850,417,417
29500,414,414
61000,412,412
25009,409,409
65696,406,406
71798,406,406
62400,402,402
50300,399,399
63500,398,398
38699,395,395
63151,394,394
63900,390,390
65310,386,386
61521,385,385
28000,381,381
63899,381,381
57400,380,380
59902,378,378
40299,376,376
62301,370,370
Y0099,368,368
29540,364,364
78898,362,362
E8196,358,358
E8197,355,355
42700,352,352
