CODE1,freq,n_pats
CKD93,280,233
KED76,280,267
NFC40,280,232
TCC40,280,160
QWC00,279,249
TJK00,279,272
XX1VW,279,269
AAF00,277,231
QXB10,277,139
YX9BD,275,252
JHW96,274,246
ND1AI,274,242
ZXC86,274,263
CEC00,273,231
JFG00,273,260
CK2L4,272,161
LAE11,272,263
QBE30,272,246
SGA02,272,213
TAD08,272,79
JFA45,271,225
KH1LA,271,171
SJC02,271,146
SPF30,271,172
TLW14,270,205
FPB22,269,202
PJD45,269,250
HAC25,268,253
CA1AE,267,199
BBA40,266,255
PC1BD,266,219
ZSH00,266,244
AA1XD,265,248
NCJ70,265,254
ZYB02,265,214
NBE25,264,253
FN2CA,263,245
LEB10,263,247
NDL54,263,229
ZQX00,263,100
AA5PD,262,235
JN1BG,262,252
MBC33,262,250
EFB40,261,224
GBB13,261,55
NE1AG,261,258
PA2BG,261,252
SFC01,261,193
KBV15,260,119
NGJ40,260,240
RJ411,260,47
FNE20,259,255
NAG66,259,247
BC1CD,258,232
MAB10,258,238
NGE60,258,222
NGQ20,258,218
QAE20,258,223
1AA09,257,40
IEZ99,257,77
KAE12,257,186
NFB60,257,231
IEY08,256,86
MAG00,256,240
QBJ00,256,218
QWA00,256,224
CKD15,255,198
PAN14,255,240
IDY99,254,43
JFB60,254,245
NHL50,254,241
PF1BT,253,202
R4170,252,52
XJW99,252,206
XX2XT,252,161
FC1AC,251,245
CK9F4,250,220
DQD34,250,47
FB1AD,250,235
GAC00,250,173
JG1JG,250,238
SDE02,250,179
FWD00,249,230
NCM20,249,214
NGB30,249,241
QBA50,249,193
QXE10,249,222
TFN40,249,188
JFB20,248,241
NE1BA,248,210
FN1BB,247,212
JAB12,247,233
JAF11,247,240
JN5ER,246,155
NC1AD,246,230
NHJ08,246,224
QAE00,246,226
QX4AT,246,244
JFA58,245,111
PA6CG,245,233
WB223,245,161
XJ110,245,214
FN1BE,244,230
JGA05,244,224
NF1AT,244,203
NGJ70,244,210
R2210,244,59
ED1AA,243,203
LCC10,243,243
LGA00,243,242
QBB00,242,230
PJD71,241,226
AEA00,240,175
NH1EA,240,202
TQX20,239,214
NK6BN,238,229
R1,237,89
ZZA50,237,221
GDB11,236,212
JDA05,236,192
JN2DM,236,212
JLW98,235,120
QAA99,235,202
QBB99,235,123
JG1BG,234,205
KCB00,234,166
NH3CG,234,197
ZXY57,233,164
ZZQ00,233,225
EBB11,232,194
EHA10,232,217
NA2AD,232,207
SDA05,232,180
SGA04,232,165
SPF20,232,132
WX230,232,213
YA1VG,232,185
FPE96,231,214
NHU10,231,214
QBE15,231,184
JHD33,230,117
JN5AQ,230,159
PD3AT,230,204
GA5AA,229,214
NGC00,229,213
WW400,229,81
UGC18,228,192
ABD99,227,141
FM1CG,227,207
HA1CM,227,188
NA049,227,48
FM1NE,226,112
AAD05,225,198
DPA30,225,198
HA1HA,225,176
LCB10,225,221
PD4DG,225,207
TFP00,225,206
WB303,225,58
CBN20,224,200
CHD35,224,147
NDQ48,224,193
SPF10,224,146
TJA35,224,194
NFC00,223,202
SGA03,223,173
ZX020,223,110
IEY21,222,68
NB1DG,222,214
NGC20,222,205
SPB10,222,100
WX902,222,172
JDA32,221,159
JDF01,221,215
NEA10,221,149
PHB76,221,195
TNC11,221,137
GD5AD,220,199
HA2AT,220,206
PA3AC,220,136
QDD00,220,104
FPG96,219,196
IEP99,219,97
ZX110,219,108
DHB10,218,192
HAD40,218,194
KAC11,218,213
ZZH20,218,208
JMA10,217,206
LCA20,217,210
CBN99,216,199
CCD60,216,176
CFC00,216,208
JBC00,216,210
NFB99,216,198
NK6CT,216,192
PD4BD,216,179
QD6S1,216,109
XJC00,216,205
BAA20,215,213
JLC30,215,212
LBE20,215,208
HAE00,214,155
QDH00,214,178
SJB10,214,186
GDA11,213,201
NBE70,213,195
YX8VG,213,184
KAC00,212,204
KAD00,212,203
QDH,212,72
HAD99,211,175
JAL20,211,202
LEG96,211,206
NH3BG,211,196
PDQ05,211,197
QCA99,211,194
QDA50,211,111
QDA99,211,188
RS224,211,17
TJJ00,211,167
JF1DG,210,181
NA6AA,210,204
NBL30,209,201
PG1AE,209,183
SJF01,209,161
TQX05,209,103
XPX04,209,148
IEV99,208,130
NG2CA,208,183
SGB10,208,186
AA049,207,27
TKE10,207,197
3DX05,206,20
YX8BD,206,183
DQE00,205,39
FM1BD,205,202
JFF10,205,195
ZXE90,205,180
JAB97,204,198
KH1EE,204,197
SAC02,204,181
SXA10,204,184
ZXY81,204,95
JFK10,203,187
ZXE22,203,172
LE090,202,85
NHK68,202,190
QCA50,202,115
QXB05,202,154
WQ054,202,16
5BA08,201,109
GEA00,201,196
LBF00,201,197
R3120,201,83
DBD20,200,170
PEN23,200,190
CBB21,199,192
EDA00,199,174
EEC05,199,182
NDL40,199,181
R5210,199,173
SJC40,199,151
IBB03,197,109
NBF15,197,175
QXA05,197,188
CBB50,196,176
KGD10,196,94
NDG74,196,164
WE300,196,34
HAD10,195,184
LEF10,195,193
NA3BM,195,188
XQ899,195,165
EJB10,194,173
JGB06,194,193
NDL66,194,180
CBJ30,193,170
JHD30,193,129
NGD15,193,188
CKC70,192,187
FN2CB,192,162
LEF51,192,190
AAF20,191,109
EB1CA,191,162
FNA96,191,185
GAA96,191,171
LAE10,191,186
NC1CG,191,168
CA1BG,190,158
DFX00,190,39
ENA00,190,161
EP2AT,190,182
GAB10,190,180
LWE00,190,181
NDF60,190,162
NJ3CG,190,175
ZXY52,190,127
FCA60,189,183
JFA55,189,155
QCD00,189,110
SDE04,189,121
FPE40,188,174
NFF25,188,167
UGC02,188,142
ZST00,188,134
EL4AT,187,176
JFG40,187,126
NFB10,187,174
QA1S1,187,163
SJA01,187,155
ZZQ10,187,183
0192,186,96
DCD10,186,151
FN2AA,186,172
LEF96,186,178
PB1DE,186,165
UKA02,186,144
ZXF99,186,170
ZYB07,186,76
FK1BT,185,181
NGC60,185,180
PA7AD,185,123
SGB30,185,159
WQ068,185,10
4AC07,184,17
CBB99,184,175
KBV00,184,162
NA3CM,184,176
XX1XT,184,112
MBA04,183,166
UJK12,183,140
WB101,183,71
AA3AA,182,163
CFW99,182,102
CKC20,182,170
GD004,182,20
JG001,182,20
LFF10,182,173
NFH10,182,133
NFM20,182,166
NGA20,182,175
PA2VT,182,125
TPX15,182,156
ZXD40,182,138
NBE15,181,169
PD4CM,181,169
PJD81,181,172
QCA10,181,160
TGD00,181,163
XJH10,181,161
AB5CT,180,143
NBL99,180,172
NE049,180,32
JJ1CE,179,158
TND10,179,114
AA3AI,178,152
KFC10,178,172
NAU20,178,162
PG1PT,178,147
R22,178,32
CHB10,177,153
JN2BD,177,162
KDG30,177,176
NGS10,177,143
QDA40,177,119
ZXF00,177,159
HA1BG,176,173
KDE20,176,161
NDG77,176,156
90621,175,122
AA4CM,175,140
IBA02,175,119
PA2AC,175,142
WZA00,175,160
CCD50,174,150
ENB40,174,170
LAD01,174,169
TKF60,174,128
ZXX06,174,142
LAE20,173,170
NCJ44,173,151
UKD02,173,154
ZYB03,173,116
NA7BT,172,108
NAG61,172,166
WX004,172,124
ZX131,172,36
FM1CD,171,166
JWA00,170,154
KFA00,170,155
MBA20,170,160
PDG51,170,161
SGC00,170,114
KDW96,169,126
PC5DE,169,161
CG2S4,168,134
CHD99,168,125
QC6S1,168,139
CBG00,167,106
FM1LE,167,145
SPD00,167,115
YA1CD,167,138
DQE10,166,106
EG1AA,166,154
IBZ02,166,147
PD1CD,166,149
WXQ20,166,20
XQ820,166,123
ZXF05,166,155
DLD00,165,149
FPK00,165,154
HWA00,165,141
ICC03,165,124
JAE10,165,160
JJ1LE,165,155
KH1YT,165,122
NC1BG,165,157
SDA12,165,99
TJA10,165,99
XQ801,165,130
FCA50,164,159
MAC00,164,149
QBA40,164,75
TNF11,164,93
CA1CM,163,150
NHL20,163,148
PA2AD,163,158
QBD00,163,93
ZX199,163,70
ECB40,162,135
JGB30,162,162
NB4AA,162,142
SGA01,162,158
SPB20,162,79
XW3AT,162,150
FNA20,161,158
NDH10,161,150
TNB31,161,155
BBA20,160,150
DAD30,160,143
NGL30,160,145
YN7BD,160,145
ZXY68,160,22
ABC10,159,148
ECA30,159,119
PJ003,159,8
WX900,159,145
DMW00,158,125
HA1SA,158,152
ND1AE,158,131
AA1ED,157,140
EG1CG,157,142
EKB00,157,135
QDE20,157,120
QWD00,156,144
ZXY13,156,53
PG1UT,155,134
WQ045,155,13
ZXE60,155,142
JFG20,154,153
JFH30,154,152
JKE22,154,120
TEG00,154,68
WB323,154,31
ECB20,153,139
FPH96,153,144
ICC01,153,141
NDE40,153,137
PDG05,153,148
QAJ30,153,138
QCC00,153,143
XX9CD,153,107
JN1CM,152,129
WQ026,152,28
ACC29,151,140
NAJ32,151,145
NDE20,151,146
PWE00,151,137
QBG20,151,117
QX4YT,151,126
TFP47,151,143
WW300,151,143
CD2S4,150,133
HAD50,150,136
JCA08,150,117
JKE32,150,129
KCW98,150,93
NJ3BG,150,136
SFA00,150,123
TCA20,150,72
WQ007,150,141
DAB10,149,132
DLD20,149,134
EDC38,149,136
FNA02,149,147
HWH99,149,131
JDA52,149,92
JDD00,149,149
JN1AD,149,140
NG1DG,149,135
TJA33,149,132
BA1NN,148,119
JF2AB,148,133
KH1AT,148,114
LCA00,148,125
NH1AI,148,132
NH1DG,148,140
TK824,148,70
WXQ26,148,19
EFB50,147,24
JF2BB,147,146
JJ9AE,147,95
KCC10,147,143
KE1BG,147,144
PJD63,147,145
ABB00,146,140
LAC00,146,142
LFE10,146,137
NFR20,146,135
PBL09,146,117
XG499,146,111
1BA04,145,57
CGG45,145,112
ENA32,145,120
KD1GB,145,129
NDL99,145,137
PEP25,145,122
ZXX09,145,127
ZXY84,145,65
ACB19,144,132
NBE30,144,140
SJA04,144,122
BAA25,143,143
GD1AT,143,131
NGF40,143,125
TFN99,143,134
TNH10,143,97
ZSA00,143,136
DBB00,142,119
ECB15,142,122
FM3CN,142,142
IBZ08,142,40
JDA42,142,120
NHF15,142,130
NK1AT,142,132
TQW10,142,101
ZPB22,142,133
BB1BQ,141,131
CHD50,141,106
DPW99,141,121
ENA10,141,134
HA3ST,141,133
NGR20,141,118
QAE40,141,105
XW5WT,141,87
BCA31,140,135
CBN30,140,133
JDA55,140,101
JWE00,140,128
NH1CM,140,125
NHH10,140,134
SPE90,140,124
XX3AT,140,132
EB1CI,139,128
IEP02,139,48
NDJ60,139,136
TCF00,139,99
TNX31,139,134
EMA10,138,136
FM1CR,138,137
JK3BT,138,108
LDB10,138,127
NDL34,138,131
PEF25,138,125
SGA05,138,92
JK3FT,137,53
JK3SB,137,107
LFA00,137,110
NHR20,137,127
SCF02,137,98
AA3AD,136,122
EP1BG,136,132
GAA31,136,129
LCB11,136,136
NDG70,136,112
NXL00,136,131
PA2CG,136,125
WX214,136,128
AA5HE,135,96
FKC50,135,133
NA1DG,135,121
NG4AD,135,92
TFN50,135,107
TGW99,135,102
WX610,135,117
XKX00,135,105
ABC66,134,126
FKD10,134,127
LWW96,134,121
NAG65,134,128
NCK30,134,125
PEC23,134,124
WX213,134,113
ZSF00,134,125
0189,133,14
NE1CM,133,127
PHB99,133,121
ECA50,132,103
EJC20,132,127
JK3NB,132,85
NDB78,132,86
NFJ64,132,123
NG1CM,132,121
TJW99,132,109
1008,131,87
DE2CM,131,128
DKW10,131,121
EGA00,131,108
KDV20,131,86
ND1CM,131,116
R5430,131,49
TNB10,131,103
WXQ41,131,76
AA1AM,130,127
NA1CM,130,125
NA3BA,130,125
NAG42,130,117
SAC03,130,122
EP1CM,129,118
FNE21,129,127
MAA10,129,121
MAA40,129,127
NB1CM,129,119
PG2YT,129,105
SJA03,129,112
WB610,129,35
XX1ZW,129,110
ZX130,129,103
CK9G4,128,113
EEC35,128,126
GE1BE,128,115
HA4ST,128,119
NCH10,128,115
TNE20,128,85
XFL00,128,115
DLD10,127,117
GD6BD,127,103
JBB01,127,123
JGA73,127,113
JHB40,127,127
RJ190,127,45
DM1DG,126,88
JKE25,126,105
JN4ED,126,110
KA9AE,126,65
KF8KT,126,95
LAE21,126,123
NK6PA,126,114
PA2LT,126,105
PA7CC,126,103
PB1BC,126,73
SCD02,126,88
DDB00,125,113
HAB20,125,123
IEP03,125,51
KBJ10,125,124
NH3AE,125,104
NHB10,125,115
SDA10,125,68
TFC99,125,68
FPG40,124,106
JFH10,124,117
JFK00,124,121
WQ031,124,35
FN2CC,123,117
HAD60,123,105
JN4DD,123,98
LEF06,123,120
NA1BM,123,121
QAJ99,123,67
SPA20,123,82
SXA20,123,102
ZJX00,123,94
FM1JR,122,95
GAE40,122,104
IDY16,122,13
JFH00,122,120
MAE03,122,120
XG413,122,53
ZYC02,122,41
CGD20,121,118
HA1BA,121,118
JDA60,121,112
KAD01,121,119
MBC20,121,117
NK6AQ,121,113
PC5CG,121,112
QAJ10,121,109
SFC92,121,106
SPE00,121,103
WB131,121,38
DFF20,120,76
FEB10,120,111
FFC22,120,108
FPE10,120,112
GA3AT,120,100
JLC10,120,116
LCF01,120,120
NDF10,120,107
NDG79,120,97
UEL02,120,106
XQ818,120,115
EDA10,119,104
FNC50,119,107
JFB50,119,108
KCH00,119,116
KE1CG,119,116
QXB00,119,112
SJD50,119,77
WQ020,119,87
ZZR30,119,117
FN1CA,118,112
GEA20,118,116
JFB44,118,118
LEF54,118,114
ZXC14,118,54
FM1TQ,117,111
HAC10,117,106
LC002,117,7
NBK92,117,110
CFA20,116,104
GBB96,116,38
NDG71,116,107
NG4BA,116,92
NGC99,116,104
QAA10,116,107
QCA40,116,62
R51,116,57
RF220,116,22
SCA03,116,93
TFB00,116,114
CAC10,115,108
EEC30,115,108
XX2CT,115,93
XX7FT,115,25
AA4WT,114,15
DHB40,114,111
EB1BD,114,105
JFA70,114,104
JJC00,114,112
MAW96,114,113
NBR20,114,110
NDJ86,114,101
NGM99,114,103
PA1BD,114,101
SPF40,114,79
CA1AD,113,97
IDY15,113,9
NGL66,113,100
2AB04,112,50
CJ2M4,112,109
FKC20,112,99
KFD16,112,106
KH1CB,112,106
LAD00,112,106
NDK99,112,104
NF3BA,112,71
QBE05,112,86
SCE00,112,74
ZYC03,112,82
ABC99,111,106
CBN00,111,96
DM1CI,111,105
DPA20,111,96
JAW96,111,109
TNX05,111,103
XW4AT,111,103
EBA30,110,106
JCA32,110,67
JLB28,110,60
NDE60,110,107
NDR30,110,109
PH3AC,110,95
PHM79,110,107
PJD55,110,98
XG430,110,91
XX2XW,110,106
CJF30,109,103
DFF10,109,100
JJ3AT,109,103
NDK30,109,106
NGF10,109,105
NGJ86,109,86
XQ817,109,105
ELB50,108,102
IAB07,108,88
KE1DG,108,105
LCH96,108,104
NCB20,108,92
NCF20,108,103
NCM10,108,97
ND1DG,108,105
NDB60,108,87
NHF20,108,107
PA2AG,108,108
TCK00,108,47
WXQ99,108,53
XQ902,108,100
0103,107,62
ACC69,107,83
FPJ04,107,103
NGU10,107,97
NHS99,107,89
QAB05,107,90
QDG00,107,82
TLE30,107,83
IFC99,106,61
LC3AE,106,102
PA6AM,106,104
PC1BC,106,96
PDH54,106,102
RD160,106,33
TKC52,106,86
XX1XQ,106,22
ZZB10,106,104
ECA55,105,79
FCA70,105,102
JD1EE,105,100
KCH42,105,87
KDG96,105,90
NCA30,105,97
PJ1AN,105,77
ZXY53,105,84
DFE00,104,88
ELA30,104,101
FC1BC,104,100
KBH20,104,98
LCA17,104,99
MCA96,104,102
NGF30,104,92
QBE35,104,82
SCF01,104,74
CL2L4,103,78
ECB00,103,97
EMA30,103,97
NAG53,103,98
NCF10,103,91
QDD20,103,97
TFC20,103,90
THA00,103,97
TNF10,103,85
TQA05,103,36
AA5EN,102,98
CBF99,102,90
DFF40,102,96
FKC96,102,95
NBK02,102,93
PD1AD,102,76
PG5AC,102,62
TPJ00,102,95
ZXC30,102,87
BAA50,101,99
CBE20,101,88
CKD95,101,98
DM1CG,101,85
JJA20,101,96
PFH66,101,88
TGB20,101,38
XF622,101,91
CBA00,100,86
FXZ00,100,90
IER08,100,6
JX1LA,100,92
KC1AT,100,75
NHW10,100,77
PEF24,100,93
QCB99,100,80
RD210,100,48
SAC01,100,80
TGE00,100,76
TQD05,100,46
WX240,100,100
XJG12,100,93
AEA24,99,92
DFF50,99,83
FKD00,99,96
FPE37,99,94
GAC01,99,97
HAA00,99,57
JF1AD,99,95
JGB03,99,99
NK3AT,99,90
WW402,99,69
WX124,99,11
ZXY83,99,83
CBF10,98,87
DCW99,98,85
DEB25,98,88
FKC60,98,96
JA3BT,98,64
JGB07,98,97
LCD97,98,97
QCD20,98,90
QCE20,98,88
TNC33,98,90
DEB20,97,88
ELA20,97,90
GD2AT,97,83
JKB00,97,97
KWD00,97,90
LBC21,97,90
LFC00,97,84
NGD00,97,97
NGT99,97,89
PA2KT,97,84
ECA00,96,76
GD2CT,96,90
HA4MT,96,92
JDA02,96,82
JHA10,96,80
LCD30,96,96
LDW96,96,96
NAR20,96,90
NGJ99,96,93
QAE30,96,82
QCE35,96,85
XX4AT,96,78
AA4BG,95,91
JAG60,95,92
NBE40,95,90
PA2YT,95,85
PEE23,95,86
QBE40,95,90
XW4XT,95,72
XX6KT,95,36
0,94,85
1XC06,94,12
4AA24,94,9
DMA10,94,89
KGH20,94,90
NCK68,94,85
NFM99,94,91
NG1BM,94,93
PHL77,94,83
SCD01,94,74
0701,93,88
IBB01,93,51
JJA21,93,91
JN4AE,93,90
KDG20,93,93
KGB00,93,84
NDF68,93,71
SPD10,93,63
TDA10,93,91
TQW75,93,37
XQ846,93,69
ZYB05,93,46
ABC50,92,88
JDE00,92,91
LCG31,92,87
MAC02,92,82
NDE64,92,91
PC1CC,92,81
QAE15,92,84
RP210,92,40
ZYD04,92,79
ZZS55,92,37
CBD99,91,81
DGW00,91,86
EWD00,91,82
JAL97,91,83
JCC12,91,91
JH1CM,91,61
MAA96,91,81
IEY06,90,63
JFA52,90,84
JGB04,90,87
NDC40,90,49
PD3BT,90,83
PJA01,90,90
SPA10,90,61
TEB10,90,61
TNB30,90,89
WX1PA,90,58
YN7AD,90,75
EE1AA,89,81
FNE96,89,89
IEY03,89,60
NFC99,89,84
NGS99,89,78
PA6CM,89,87
QX3LT,89,57
XMA02,89,70
ZXM20,89,86
CK2K4,88,77
DEB30,88,80
DNB10,88,80
GDB10,88,78
IEY19,88,69
JHD96,88,70
LFA10,88,86
NBJ60,88,81
NEJ60,88,85
PGH47,88,84
TQW02,88,72
XPX16,88,51
1200,87,84
CCA20,87,76
CEC30,87,78
CKE60,87,78
DMA00,87,79
EHB00,87,73
JAD97,87,86
JAL01,87,86
KDH10,87,83
KFA40,87,80
NGE20,87,83
QBC00,87,84
ZPB40,87,80
ZZB40,87,81
ZZG00,87,78
1CX08,86,50
DEA10,86,78
FNW96,86,83
FPH10,86,82
JCW98,86,81
JWW96,86,77
LAF20,86,84
R4180,86,57
SPD05,86,61
TNX90,86,80
TQX22,86,81
CFB00,85,73
FN1BD,85,80
JAB96,85,78
JAK00,85,84
KFH10,85,81
NBJ41,85,77
NFL20,85,78
NGU00,85,77
QBG10,85,65
QBG99,85,68
QXE15,85,32
SPC40,85,70
UGB02,85,67
ZXX08,85,74
AAK00,84,71
CGE55,84,78
ELB00,84,82
ENC99,84,75
FGC10,84,80
JDA35,84,74
KK1XE,84,83
NAJ22,84,77
NCL32,84,79
TCE00,84,15
YL1CD,84,78
5BA03,83,17
GDA10,83,82
HAD00,83,62
IDR02,83,11
JCA98,83,65
JHB10,83,80
JN4DR,83,80
NGB50,83,75
NGD20,83,80
QBG00,83,60
QDG30,83,69
R1280,83,76
SJX00,83,66
XF614,83,75
1XC14,82,13
AA1DD,82,80
CB9S4,82,76
DKW99,82,72
GD1CG,82,72
GDA20,82,73
JAL00,82,82
JKB20,82,82
ND2AE,82,76
NFC30,82,79
NFK30,82,73
NGE30,82,82
NK6SN,82,80
PBM10,82,80
QDC00,82,81
TFP33,82,78
TNE11,82,25
5AB14,81,49
CBC00,81,78
ECA35,81,58
IAB01,81,61
JWF00,81,78
NDK00,81,80
NDK10,81,78
NFM10,81,73
NG2EA,81,70
NGE45,81,78
NGK99,81,77
NHJ99,81,76
PDP20,81,78
QXA99,81,64
TJG30,81,54
TND30,81,77
XKG00,81,80
YN1BD,81,66
EWE00,80,75
GA6AA,80,76
JFB33,80,74
JX1XB,80,65
LAA01,80,76
NA2DG,80,74
WE100,80,27
XX9TE,80,72
ECB05,79,76
GD002,79,10
JAC10,79,75
JDB00,79,60
JFA42,79,71
JG1JM,79,77
JL9AE,79,26
KC1AE,79,74
KKB10,79,63
NDA20,79,73
NGW99,79,62
PA4AC,79,61
PJD53,79,79
QB3S1,79,62
XX2BT,79,55
XX7AT,79,25
AAG00,78,73
ADA20,78,74
FCC45,78,68
HA5CB,78,74
IAB08,78,63
JX1XE,78,73
NGK05,78,71
NGW10,78,71
TFP04,78,74
WD215,78,47
WX2DD,78,74
XCD00,78,31
YJ1BD,78,73
NBE20,77,70
NHJ86,77,75
PB1AC,77,60
PD7ZT,77,68
TAA40,77,66
TJD10,77,65
TKC50,77,58
TNX03,77,62
GAC46,76,72
HB000,76,70
JFF26,76,75
JK4ZT,76,63
NE1BM,76,75
NEJ50,76,75
SPC30,76,66
FM1QE,75,60
FN2EA,75,67
IDY05,75,8
JC004,75,6
JGB31,75,74
KED10,75,75
LAC20,75,73
LEE00,75,65
PA6BM,75,74
PFH63,75,75
QDG99,75,63
ABB10,74,66
DJD10,74,71
FWW96,74,69
HA4GT,74,72
KA3GB,74,66
MWA00,74,56
NFL99,74,65
NHF80,74,68
PJD99,74,65
PWC00,74,65
TJG20,74,66
EDW99,73,62
GAC97,73,69
KFH00,73,69
MAE20,73,71
NB049,73,9
NF3AD,73,62
PG1ST,73,57
QBD20,73,62
ZPB32,73,70
ZXF20,73,64
AAF15,72,71
CBK11,72,50
CGF10,72,58
FNG10,72,72
IBZ03,72,19
JGA96,72,59
JJB10,72,71
LEF01,72,70
NBJ86,72,68
NFR30,72,70
RJ425,72,9
SPF50,72,46
TJX90,72,64
XF601,72,66
CGE50,71,64
CHF15,71,57
CJD20,71,66
ECA10,71,65
FM1AD,71,70
JAA00,71,70
JGA98,71,54
JL1AT,71,61
JN3BG,71,69
KAC20,71,70
NDH60,71,71
SGB20,71,68
WQ055,71,9
ZX197,71,44
ZYB08,71,57
0601,70,59
1XC08,70,22
CKD50,70,63
FFC00,70,68
GD003,70,6
IAZ99,70,50
JAH96,70,66
JDC20,70,69
JFF13,70,60
JFG30,70,69
LAA31,70,70
MBC40,70,68
ND2AI,70,62
PEN24,70,69
PFP99,70,56
ZSZ10,70,69
ZXE80,70,67
ZXH04,70,53
AAB30,69,64
EAB00,69,67
FXG00,69,65
HA1DA,69,60
HAD20,69,65
JAK03,69,62
JDA63,69,68
MA3AE,69,67
NGJ84,69,62
NH1CF,69,63
PA7CG,69,55
PG1AT,69,47
WB321,69,26
ZSJ00,69,67
ZXE70,69,69
ZZC00,69,59
AA1CF,68,64
AA5DR,68,58
AAD15,68,65
LFF96,68,59
NCM99,68,62
NHJ12,68,67
NJ3DG,68,56
PBU84,68,61
PC2DT,68,43
PJ002,68,10
PJ5AQ,68,62
PX1AE,68,44
RJ414,68,13
TLW20,68,58
ZXF10,68,63
AAG20,67,60
AAH30,67,40
BCA30,67,66
CA1DG,67,64
CKE65,67,61
DWD00,67,65
EJB40,67,63
JAA10,67,64
JFC00,67,64
LCA22,67,67
NAJ10,67,66
NC1AE,67,64
NFT99,67,55
PDQ20,67,66
WC401,67,23
YNB10,67,56
AWB00,66,62
CBD00,66,65
CBF20,66,59
GDG10,66,64
ICZ04,66,46
JFA80,66,65
MBC00,66,65
NCL66,66,58
NFU00,66,64
PD5BG,66,56
XQ830,66,52
ZX022,66,65
ZXY54,66,51
AA7AA,65,38
CFD10,65,46
ELB10,65,63
JCC10,65,60
JFB40,65,65
JFH33,65,65
KDG21,65,65
KGH96,65,61
MAB00,65,47
NDT99,65,58
NFJ99,65,64
PG1CG,65,64
PX_2,65,17
SPA05,65,49
SXC04,65,49
WW804,65,65
XP60W,65,63
ZZH30,65,61
ZZS00,65,64
AAL00,64,52
CBE40,64,55
DEB10,64,63
EDB00,64,60
GDA21,64,63
HA1ST,64,64
IER06,64,10
JAB91,64,60
JAC30,64,63
JFF11,64,64
JGA52,64,48
MWE00,64,61
NFC50,64,59
NFS10,64,58
NH3DG,64,57
NHS20,64,54
PFH59,64,62
PH5GT,64,59
QAD00,64,42
QC9S1,64,54
QX1AE,64,63
WX210,64,58
0193,63,35
AAF99,63,52
ECA70,63,52
FPJ02,63,61
JA3CT,63,51
JCA42,63,57
JF2AD,63,61
JFG36,63,61
LEF50,63,63
NBH20,63,62
NFA30,63,59
TAD00,63,18
XFP00,63,43
EEA00,62,56
ENC45,62,42
IEP01,62,36
JG1CM,62,55
KFB00,62,55
MCA00,62,61
NFA20,62,61
PD5DG,62,58
PFE26,62,56
SFC00,62,49
XX9TB,62,56
ZXC35,62,60
CK2Y4,61,54
DKW20,61,56
EEC45,61,55
IDR99,61,7
JAG00,61,59
JBB97,61,61
JJB50,61,61
KFD50,61,59
LDC00,61,60
SJA02,61,54
WX1DG,61,37
XX3ZW,61,59
XX9XT,61,56
ZXY04,61,26
1XC17,60,10
90494,60,35
AA4DG,60,55
ACC99,60,51
CJE10,60,58
CJF10,60,56
DCA30,60,60
ENB50,60,59
FPJ21,60,60
JAB93,60,55
JFA38,60,45
JFB21,60,58
KGA10,60,58
QAJ15,60,58
SCC01,60,49
SCF03,60,42
SPC25,60,35
TEG10,60,41
TFW99,60,49
WX142,60,51
0702,59,57
1LA04,59,8
CA1BD,59,52
CK2A4,59,58
FM1DM,59,58
FMD22,59,51
JAL31,59,58
JWC00,59,52
KCV22,59,57
LBD01,59,54
NA1BD,59,57
QDJ00,59,51
SGC10,59,50
TFP43,59,52
TNG31,59,54
TNH36,59,14
XX1FW,59,59
AEA20,58,52
CBJ99,58,51
EN1CD,58,56
JAL10,58,56
NAJ12,58,56
NBH98,58,51
NBM20,58,58
NCK10,58,56
PG1DM,58,48
PJD51,58,55
RS340,58,17
SPB30,58,52
TNG33,58,52
WZA90,58,56
XX7FW,58,55
XX9KE,58,48
ZYB01,58,40
1XC18,57,15
4AB0M,57,13
EAA30,57,50
EP1DM,57,52
GAE06,57,54
JGB10,57,57
JGB96,57,56
KAS20,57,57
LAC31,57,57
LFW96,57,55
PEE25,57,48
QDE00,57,48
R5,57,43
TDH60,57,56
TED00,57,36
TFP42,57,49
ZFX00,57,40
ZXC07,57,39
0116,56,33
CGG11,56,43
CGG31,56,38
CJE99,56,52
DAD00,56,54
FFW96,56,51
GD1DG,56,36
IEY11,56,7
JAD96,56,54
JDA08,56,49
JFB54,56,56
JN2AD,56,52
LCB20,56,54
LDC10,56,55
NDS99,56,54
PA2MT,56,50
PG1QT,56,43
QAB99,56,41
QXE99,56,53
TJX00,56,55
TPX00,56,53
WIX00,56,47
WQ056,56,6
XX9AQ,56,53
AB3CB,55,48
CKC65,55,53
GAC47,55,54
JAL11,55,55
JJ5AT,55,45
JL5BM,55,53
JLB35,55,32
KCJ00,55,45
NBF20,55,55
NC1AI,55,52
NFW10,55,52
NK5BT,55,41
PC2DE,55,50
PFP26,55,51
XA410,55,51
XX3BT,55,51
YJ1AD,55,50
AAH60,54,51
DAW99,54,51
DC1BD,54,51
EJB00,54,50
HAD35,54,51
ICA04,54,53
JAG96,54,52
JFB53,54,53
KDG00,54,53
NA3BD,54,47
NCK99,54,47
NDS00,54,50
NGQ48,54,43
PA2BM,54,54
QDE30,54,44
TQC05,54,31
WQ032,54,17
WX130,54,51
0602,53,47
1CD04,53,16
CF2S4,53,44
