CODE1,freq,n_pats
WX290,3109,2654
NC1AA,3090,1755
WX704,3089,2577
LA2AE,3085,1073
JFA15,3070,2598
WX105,3070,2400
LDC03,3057,2719
GD1ED,3055,2214
ABC16,3016,2577
WX400,3009,2702
LC2HE,3004,2756
NH3BA,2954,1780
LCH11,2949,2399
WZC20,2926,1706
WB401,2912,384
R1220,2911,659
TDW99,2902,1934
R4130,2889,784
LAF11,2866,2839
MAE00,2863,2708
NHG80,2857,2196
NA3EA,2844,2341
WW200,2833,1576
ZX108,2800,327
JN4AD,2789,1676
CKC10,2779,1347
WX140,2779,2005
JN3AD,2740,2143
XA402,2738,2078
IGY01,2720,837
WD305,2719,513
WX702,2719,2347
TK820,2707,257
QAA25,2705,1190
TNX99,2701,2012
R4150,2687,381
TPH15,2681,2072
FN2BA,2670,2289
IGY02,2657,786
SJX10,2625,610
JHB00,2619,2439
YG1BD,2616,2397
NB1BA,2597,1736
LEF03,2572,2452
TLC02,2571,2411
PJD52,2565,2399
KE002,2541,135
XX9AW,2533,2205
ZXY51,2514,1351
TKW99,2485,428
XF640,2477,1892
FPE20,2474,2298
KH1AD,2472,1806
LCD10,2472,2454
NBG10,2465,2199
LEF00,2454,2291
NK6AN,2448,1929
NBA30,2423,2191
NGE35,2394,2113
NA1AD,2393,2153
ZXC10,2369,1595
SHB00,2358,1766
MBA03,2343,1948
QXA25,2332,1008
JEA01,2331,2259
ZX136,2315,312
R1250,2308,1345
KA1AE,2306,1557
NDM40,2304,1805
WB123,2299,638
EMB30,2292,2199
NG1BG,2292,2120
XKD06,2285,1978
UDM02,2280,1272
QDE10,2279,1955
PH2DE,2277,1629
WXQ12,2272,132
R1100,2271,745
R4190,2268,1165
ZXC50,2261,1211
XKC03,2248,1983
R1210,2239,848
NH3DA,2226,1806
NF1BA,2220,1427
GD1AD,2213,1707
AA1DG,2211,1899
AA1BD,2201,1908
WX321,2201,1853
WX000,2199,1637
WQ000,2153,199
SBB00,2135,1185
TLW99,2132,1285
LCH00,2115,1862
XG474,2112,1439
WX872,2109,1770
SJD10,2108,415
WX882,2108,1495
NGB40,2095,1798
DNB20,2062,1752
QDB05,2062,1330
GD5BD,2059,1564
HAD30,2058,1899
NH1BA,2053,1391
NDM10,2042,1398
TPX10,2032,1491
ND2DA,2029,1614
KFD46,2026,1954
CBB30,2025,1853
QCB10,2024,1226
JN1CG,2019,1574
TPH20,2012,1496
TNX00,2010,976
DHB50,2003,1692
NA2AA,1988,1452
NG2AA,1988,1552
AA1CM,1977,1619
UJK02,1954,1327
NF1DA,1946,1547
WB203,1938,1061
HAB00,1937,1783
DFF15,1932,1712
ICZ03,1931,1162
GA4YT,1927,1206
NGF00,1923,1789
TFP34,1922,1625
NDU20,1910,1591
LCA10,1898,1737
NF3AA,1889,945
SHA02,1885,1000
PHM76,1877,1613
WD325,1876,257
TGC00,1874,1474
ZZA00,1873,1514
ZYB04,1869,405
LAF10,1866,1830
ZXY49,1859,285
LEG10,1858,1782
WB121,1858,488
TCW99,1854,961
R5120,1850,1187
JAH00,1848,1621
LEF13,1844,1831
QX2XE,1841,1631
TAB20,1838,651
CKC15,1834,600
SJD20,1834,400
LFB00,1814,1329
JKA20,1810,1760
KCD02,1810,1121
KGH10,1808,1741
CBB10,1797,1659
XCD20,1790,1259
SFA20,1787,962
QAE99,1765,1511
WX725,1763,1275
NG1CG,1744,1554
NBF25,1741,1590
BAA40,1737,1507
MBA00,1727,1506
NE1CG,1719,1449
QCE10,1718,1557
SFA10,1715,931
ZXC60,1693,1249
DAX08,1689,1431
KA2AE,1689,482
PD5BD,1679,1188
CKD65,1675,1238
UJG02,1670,1309
SHA03,1659,849
NA3AD,1652,1419
ZX121,1647,158
NB1CG,1641,1491
NDM20,1637,1465
1LA05,1632,251
JJ2AT,1632,1359
NE1BG,1632,1428
ZZR00,1623,1441
1XC03,1619,220
LAA10,1616,989
NH1AD,1611,1249
WX302,1609,1451
MAA00,1600,1263
NFB40,1593,1416
KF8AE,1583,1248
JAF10,1578,1519
BAA60,1576,1500
NBT60,1567,1340
NAG40,1564,1377
HA1CG,1560,1258
WX234,1558,1285
ABC26,1556,1383
FN1BT,1545,1386
QBE99,1545,1382
NHG77,1538,1281
NB6AA,1534,900
HAB99,1533,1404
QAA05,1532,1195
ZXE40,1528,1305
ZXE01,1527,757
JDW98,1526,788
CS444,1520,1049
XKD03,1520,1345
WF099,1514,203
ZXX02,1509,902
QXB99,1503,607
TKD00,1500,527
TND11,1489,646
WX204,1488,1280
NHG70,1480,1316
JBC01,1468,1396
WX720,1459,1001
WD225,1434,368
LAF01,1433,1364
TLW00,1432,728
WC305,1432,133
CS494,1431,1002
SPA00,1431,495
ZXE17,1426,902
ZXC96,1424,1412
WD505,1422,253
ICB01,1411,855
AA1CD,1410,1253
NJ3NA,1410,1126
NFB50,1409,1211
JFA98,1408,1072
HA4AT,1405,1343
JAB11,1401,1301
JA3AT,1392,660
KH1AA,1372,783
UJF92,1360,1182
TQW11,1357,615
TEW99,1354,587
HA1AT,1353,1232
R1260,1343,1063
GA1AE,1340,979
EB1SA,1339,923
YL1BD,1338,1198
NGU20,1336,1165
ZXY03,1336,224
NH3FA,1329,968
KCV04,1326,640
NB1AE,1319,1158
EBA15,1317,1129
ZY000,1313,767
JN5DR,1312,805
TNX30,1311,825
IER04,1310,177
KBV02,1304,976
WQ066,1300,84
EN1BD,1293,1011
PD4DE,1275,779
JL5BG,1274,1109
TAW99,1271,246
NAG62,1265,1150
XX1XW,1265,1208
SDA03,1261,865
DCA10,1259,1022
LBE01,1259,1191
JAF30,1238,1206
NA1CG,1221,1063
CHD05,1214,995
DHB20,1208,880
ND1BA,1203,1030
PA2BD,1201,1094
JKE98,1199,769
SFA30,1196,698
FN1CC,1192,1001
XF409,1191,291
TNX92,1189,849
XQ848,1188,864
JN2CG,1187,1065
NCJ62,1186,1122
ZXY01,1186,578
NA2BG,1185,1086
PJ5AN,1182,1157
TNX34,1182,878
FPE00,1173,1107
LEB00,1171,880
TNX39,1167,1036
XG405,1165,787
FNC20,1164,1111
IFB01,1158,120
