code,freq_finngen,freq_total
SPAT1330,42,42
SPAT1078,40,40
SPAT1116,38,38
SPAT1132,38,38
SPAT1205,37,37
SPAT1065,35,35
SPAT1372,35,35
SPAT1163,34,34
SPAT1121,33,33
SPAT1208,32,32
SPAT1329,32,32
SPAT1337,32,32
SPAT1350,31,31
SPAT1161,29,29
SPAT1063,28,28
SPAT1174,27,27
SPAT1124,26,26
XLD00,26,26
SPAT1287,25,25
SPAT1047,24,24
SPAT1075,23,23
SPAT1289,23,23
SPAT1290,23,23
SPAT1355,23,23
SPAT1185,22,22
SPAT1158,21,21
SPAT1199,20,20
SPAT1320,20,20
SPAT1076,19,19
SPAT1333,18,18
SPAT1082,17,17
SPAT1354,17,17
SPAT1035,15,15
SPAT1096,15,15
SPAT1080,14,14
SPAT1122,14,14
WW200,14,14
SPAT1090,13,13
SPAT1117,13,13
SPAT1015,12,12
SPAT1113,12,12
SPAT1123,12,12
SPAT1183,12,12
SPAT1214,12,12
SPAT1271,12,12
SPAT1178,11,11
SPAT1288,11,11
SPAT1302,11,11
SPAT1031,10,10
SPAT1089,9,9
SPAT1095,9,9
SPAT1136,9,9
OAA11,8,8
OAB30,8,8
SPAT1004,8,8
SPAT1018,8,8
SPAT1332,8,8
SPAT1348,8,8
SPAT1376,8,8
JFA15,7,7
OAB47,7,7
SPAT1019,7,7
SPAT1073,7,7
SPAT1338,7,7
OAA70,6,6
SPAT1032,6,6
SPAT1085,6,6
SPAT1092,6,6
