"","CODE1","n_codes","n_patients"
"210","SPAT1010",198,179
"211","SPAT1060",192,147
"212","SPAT1369",192,136
"213","SPAT1361",190,176
"214","SPAT1248",186,125
"215","SPAT1062",173,62
"216","SPAT1286",170,139
"217","SPAT1270",165,61
"218","SPAT1165",157,21
"219","SPAT1005",156,151
"220","SPAT1393",155,81
"221","SPAT1017",151,143
"222","SPAT1034",147,140
"223","SPAT1394",142,111
"224","SPAT1233",136,93
"225","SPAT1396",130,99
"226","SPAT1327",125,59
"227","SPAT1300",123,63
"228","SPAT1040",116,109
"229","SPAT1025",112,101
"230","SPAT1371",111,101
"231","SPAT1077",110,69
"232","SPAT1261",109,90
"233","SPAT1362",108,93
"234","SPAT1268",98,81
"235","SPAT1356",97,93
"236","SPAT1061",92,59
"237","SPAT1112",90,85
"238","SPAT1277",89,63
"239","SPAT1328",89,70
"240","SPAT1232",88,55
"241","SPAT1209",86,80
"242","SPAT1358",85,82
"243","SPAT1007",79,74
"244","SPAT1120",77,74
"245","SPAT1388",77,74
"246","SPAT1045",76,65
"247","SPAT1206",74,72
"248","SPAT1064",69,15
"249","SPAT1218",69,41
"250","SPAT1119",68,66
"251","SPAT1142",68,17
"252","SPAT1194",66,63
"253","SPAT1340",65,63
"254","SPAT1026",64,51
"255","SPAT1052",62,53
"256","SPAT1072",59,55
"257","SPAT1319",57,54
"258","SPAT1171",55,31
"259","SPAT1191",55,41
"260","-2",52,46
"261","SPAT1055",47,44
"262","SPAT1107",47,28
"263","SPAT1069",46,43
"264","SPAT1145",46,42
"265","SPAT1330",42,18
"266","SPAT1078",40,24
"267","SPAT1116",38,34
"268","SPAT1132",38,38
"269","SPAT1205",37,36
"270","SPAT1065",35,26
"271","SPAT1372",35,32
"272","SPAT1163",34,33
"273","SPAT1121",33,31
"274","SPAT1208",32,29
"275","SPAT1329",32,27
"276","SPAT1337",32,28
"277","SPAT1350",31,24
"278","SPAT1161",29,27
"279","SPAT1063",28,21
"280","SPAT1174",27,27
"281","SPAT1124",26,9
"282","XLD00",26,26
"283","SPAT1287",25,24
"284","SPAT1047",24,21
"285","SPAT1075",23,21
"286","SPAT1289",23,23
"287","SPAT1290",23,21
"288","SPAT1355",23,22
"289","SPAT1185",22,21
"290","SPAT1158",21,20
"291","SPAT1199",20,20
"292","SPAT1320",20,17
"293","SPAT1076",19,17
"294","SPAT1333",18,14
"295","SPAT1082",17,16
"296","SPAT1354",17,15
"297","SPAT1035",15,13
"298","SPAT1096",15,7
"299","SPAT1080",14,14
"300","SPAT1122",14,9
"301","WW200",14,13
"302","SPAT1090",13,10
"303","SPAT1117",13,12
"304","SPAT1015",12,12
"305","SPAT1113",12,12
"306","SPAT1123",12,9
"307","SPAT1183",12,12
"308","SPAT1214",12,7
"309","SPAT1271",12,9
"310","SPAT1178",11,11
"311","SPAT1288",11,8
"312","SPAT1302",11,10
"313","SPAT1031",10,10
"314","SPAT1089",9,9
"315","SPAT1095",9,8
"316","SPAT1136",9,8
"317","OAA11",8,8
"318","OAB30",8,6
"319","SPAT1004",8,6
"320","SPAT1018",8,7
"321","SPAT1332",8,8
"322","SPAT1348",8,8
"323","SPAT1376",8,8
"324","JFA15",7,7
"325","OAB47",7,7
"326","SPAT1019",7,7
"327","SPAT1073",7,7
"328","SPAT1338",7,7
"329","OAA70",6,6
"330","SPAT1032",6,6
"331","SPAT1085",6,6
"332","SPAT1092",6,6
