concept_code,freq,freq_per
81,2161,4.855%
82,702,1.577%
61,252,0.566%
83,196,0.440%
73,157,0.353%
72,145,0.326%
71,140,0.315%
112,102,0.229%
62,89,0.200%
211,70,0.157%
74,53,0.119%
23,38,0.085%
212,31,0.070%
31,31,0.070%
421,28,0.063%
9,21,0.047%
63,19,0.043%
221,14,0.031%
59,14,0.031%
422,12,0.027%
84,11,0.025%
424,10,0.022%
113,8,0.018%
413,8,0.018%
