concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type
154,433134,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
155,433146,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
156,439733,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
157,434859,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
158,4241110,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
159,434281,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
160,440035,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
161,432830,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
162,4257827,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
163,433701,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
164,433701,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
165,438343,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
166,433960,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
167,438353,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
168,438067,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
169,438067,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
170,433407,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
171,438344,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
172,436334,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
173,440653,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
174,438350,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
175,442176,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
179,442176,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
180,436038,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
181,435188,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
182,440043,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
183,433135,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
184,440953,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
185,4022218,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
186,433702,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
187,193708,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
188,441512,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
189,438359,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
190,46271001,Maps to,2019-05-15,2099-12-31,NA,ICD10fi
191,440948,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
192,192259,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
193,436040,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
194,196907,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
195,197223,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
196,441793,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
197,196347,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
198,441793,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
200,441799,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
201,4090205,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
202,432250,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
204,196064,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
205,433435,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
206,4031756,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
207,138996,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
208,81250,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
209,194611,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
210,433435,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
212,433435,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
213,4156941,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
214,30679,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
215,442099,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
216,193431,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
217,435506,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
218,4242348,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
219,74606,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
220,4112852,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
221,4266186,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
222,4112851,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
223,201256,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
224,442105,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
225,138102,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
227,197236,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
228,195500,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
229,199764,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
230,201817,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
231,200670,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
232,78706,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
233,381252,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
234,4003171,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
235,4239871,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
237,136937,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
238,435506,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
239,40492458,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
240,4317685,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
241,193437,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
242,197518,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
243,79765,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
244,438997,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
245,4315940,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
246,140357,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
247,135214,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
248,138994,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
249,432582,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
250,432582,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
252,436659,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
253,432588,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
254,440977,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
255,4280354,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
257,444238,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
258,30978,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
259,22281,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
260,28396,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
261,440979,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
262,4125496,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
263,137829,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
264,434894,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
266,439777,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
267,436093,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
268,434007,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
269,436678,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
270,432585,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
271,4179872,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
