CodeId,CODE1,CODE2,freq_finngen,freq_finngen_per
NA,C674,C674,12,0.0000691%
NA,C678,C678,128,0.0007372%
NA,C679,C679,118,0.0006796%
NA,C693,C693,41,0.0002361%
NA,C6930,C6930,53,0.0003052%
NA,C711,C711,10,0.0000576%
NA,C73,C73,120,0.0006911%
NA,C739,C739,113,0.0006508%
NA,C739,NA,16,0.0000921%
NA,C7390,C7390,95,0.0005471%
NA,C7391,C7391,276,0.0015895%
NA,C7392,C7392,11,0.0000633%
NA,C7399,C7399,26,0.0001497%
NA,C793,NA,22,0.0001267%
NA,C800,NA,23,0.0001325%
NA,C809,NA,9,0.0000518%
NA,C810,C810,55,0.0003167%
NA,C811,C811,315,0.0018141%
NA,C812,C812,79,0.0004550%
NA,C819,C819,38,0.0002188%
NA,C820,NA,33,0.0001900%
NA,C8200,C8200,26,0.0001497%
NA,C821,C821,253,0.0014570%
NA,C829,C829,62,0.0003571%
NA,C83,C83,43,0.0002476%
NA,C830,C830,23,0.0001325%
NA,C830,NA,46,0.0002649%
NA,C831,C831,72,0.0004146%
NA,C832,C832,31,0.0001785%
NA,C833,C833,113,0.0006508%
NA,C8331,C8331,73,0.0004204%
NA,C8332,C8332,16,0.0000921%
NA,C8333,C8333,32,0.0001843%
NA,C8339,C8339,44,0.0002534%
NA,C838,NA,21,0.0001209%
NA,C8389,C8389,53,0.0003052%
NA,C839,C839,47,0.0002707%
NA,C845,NA,55,0.0003167%
NA,C859,C859,72,0.0004146%
NA,C900,C900,323,0.0018602%
NA,C910,C910,305,0.0017565%
NA,C911,C911,250,0.0014398%
NA,C921,C921,235,0.0013534%
NA,D043,D043,29,0.0001670%
NA,D05,D05,38,0.0002188%
NA,D051,D051,255,0.0014686%
NA,D060,D060,32,0.0001843%
NA,D061,D061,37,0.0002131%
NA,D069,D069,33,0.0001900%
NA,D100,D100,14,0.0000806%
NA,D1000,D1000,8,0.0000461%
NA,D1009,D1009,6,0.0000346%
NA,D101,D101,31,0.0001785%
NA,D1010,D1010,9,0.0000518%
NA,D1019,D1019,11,0.0000633%
NA,D102,D102,8,0.0000461%
NA,D103,D103,7,0.0000403%
NA,D1030,D1030,7,0.0000403%
NA,D1039,D1039,16,0.0000921%
NA,D105,D105,9,0.0000518%
NA,D106,D106,23,0.0001325%
NA,D110,D110,138,0.0007947%
NA,D117,D117,15,0.0000864%
NA,D1170,D1170,9,0.0000518%
NA,D12,D12,16,0.0000921%
NA,D120,D120,17,0.0000979%
NA,D122,D122,16,0.0000921%
NA,D123,D123,31,0.0001785%
NA,D124,D124,23,0.0001325%
NA,D125,D125,87,0.0005010%
NA,D126,D126,192,0.0011057%
NA,D127,D127,32,0.0001843%
NA,D128,D128,111,0.0006393%
NA,D129,D129,7,0.0000403%
NA,D131,D131,44,0.0002534%
NA,D132,D132,13,0.0000749%
NA,D140,D140,66,0.0003801%
NA,D141,D141,68,0.0003916%
NA,D161,D161,13,0.0000749%
NA,D162,D162,24,0.0001382%
NA,D163,D163,12,0.0000691%
NA,D165,D165,30,0.0001728%
NA,D170,D170,42,0.0002419%
NA,D171,D171,105,0.0006047%
NA,D172,D172,43,0.0002476%
NA,D173,D173,16,0.0000921%
NA,D179,D179,76,0.0004377%
NA,D180,D180,127,0.0007314%
NA,D181,D181,8,0.0000461%
NA,D210,D210,44,0.0002534%
NA,D211,D211,26,0.0001497%
NA,D212,D212,32,0.0001843%
NA,D22,D22,11,0.0000633%
NA,D220,D220,11,0.0000633%
NA,D223,D223,85,0.0004895%
NA,D224,D224,23,0.0001325%
NA,D225,D225,70,0.0004031%
NA,D226,D226,18,0.0001037%
NA,D227,D227,22,0.0001267%
NA,D229,D229,49,0.0002822%
NA,D23,D23,11,0.0000633%
NA,D230,D230,21,0.0001209%
NA,D231,D231,140,0.0008063%
NA,D232,D232,41,0.0002361%
NA,D233,D233,132,0.0007602%
NA,D234,D234,26,0.0001497%
NA,D235,D235,46,0.0002649%
NA,D236,D236,23,0.0001325%
NA,D237,D237,18,0.0001037%
NA,D239,D239,28,0.0001613%
NA,D24,D24,211,0.0012152%
NA,D25,D25,17,0.0000979%
NA,D250,D250,227,0.0013073%
NA,D251,D251,522,0.0030062%
NA,D252,D252,113,0.0006508%
NA,D259,D259,499,0.0028738%
NA,D27,D27,24,0.0001382%
NA,D279,D279,12,0.0000691%
NA,D2791,D2791,23,0.0001325%
NA,D2798,D2798,8,0.0000461%
NA,D2799,D2799,14,0.0000806%
NA,D280,D280,14,0.0000806%
NA,D281,D281,8,0.0000461%
NA,D291,D291,17,0.0000979%
NA,D300,D300,20,0.0001152%
NA,D310,D310,30,0.0001728%
NA,D313,D313,26,0.0001497%
NA,D316,D316,12,0.0000691%
NA,D320,D320,41,0.0002361%
NA,D3200,D3200,33,0.0001900%
NA,D3202,D3202,10,0.0000576%
NA,D321,D321,21,0.0001209%
NA,D329,D329,24,0.0001382%
NA,D3300,D3300,9,0.0000518%
NA,D333,D333,19,0.0001094%
NA,D3330,D3330,30,0.0001728%
NA,D334,D334,8,0.0000461%
NA,D34,D34,26,0.0001497%
NA,D350,D350,17,0.0000979%
NA,D352,D352,215,0.0012382%
NA,D352,E221,16,0.0000921%
NA,D367,D367,26,0.0001497%
NA,D370,D370,14,0.0000806%
NA,D370,NA,7,0.0000403%
NA,D371,D371,17,0.0000979%
NA,D374,D374,26,0.0001497%
NA,D375,D375,17,0.0000979%
NA,D376,D376,8,0.0000461%
NA,D377,D377,23,0.0001325%
NA,D381,D381,97,0.0005586%
NA,D391,D391,78,0.0004492%
NA,D3910,D3910,64,0.0003686%
NA,D3911,D3911,16,0.0000921%
NA,D397,D397,15,0.0000864%
NA,D400,D400,46,0.0002649%
NA,D401,D401,8,0.0000461%
NA,D410,D410,32,0.0001843%
NA,D440,D440,23,0.0001325%
NA,D448,D448,47,0.0002707%
NA,D45,D45,302,0.0017392%
NA,D469,D469,31,0.0001785%
NA,D472,D472,38,0.0002188%
NA,D473,D473,248,0.0014282%
NA,D480,D480,25,0.0001440%
NA,D481,D481,50,0.0002880%
NA,D485,D485,48,0.0002764%
NA,D486,D486,99,0.0005701%
NA,D487,D487,14,0.0000806%
NA,D489,D489,71,0.0004089%
NA,D50,D50,13,0.0000749%
NA,D500,D500,74,0.0004262%
NA,D509,D509,216,0.0012439%
NA,D510,D510,33,0.0001900%
NA,D519,D519,16,0.0000921%
NA,D529,D529,8,0.0000461%
NA,D531,D531,10,0.0000576%
NA,D580,D580,13,0.0000749%
NA,D599,D599,7,0.0000403%
NA,D62,D62,12,0.0000691%
NA,D638,N180,124,0.0007141%
NA,D638,N188,377,0.0021712%
NA,D638,N189,409,0.0023554%
NA,D649,D649,345,0.0019869%
NA,D66,D66,34,0.0001958%
NA,D680,D680,14,0.0000806%
NA,D688,D688,14,0.0000806%
NA,D690,D690,93,0.0005356%
NA,D691,D691,12,0.0000691%
NA,D693,D693,203,0.0011691%
NA,D694,D694,31,0.0001785%
NA,D696,D696,84,0.0004838%
NA,D70,D70,13,0.0000749%
NA,D7080,D7080,10,0.0000576%
NA,D7082,N05AH,15,0.0000864%
NA,D7089,D7089,19,0.0001094%
NA,D721,D721,13,0.0000749%
NA,D728,D728,45,0.0002592%
NA,D752,D752,44,0.0002534%
NA,D759,D759,16,0.0000921%
NA,D801,D801,29,0.0001670%
NA,D86,D86,40,0.0002304%
NA,D860,D860,455,0.0026204%
NA,D861,D861,103,0.0005932%
NA,D862,D862,149,0.0008581%
NA,D863,D863,32,0.0001843%
NA,D868,D868,97,0.0005586%
NA,D869,D869,86,0.0004953%
NA,E03,E03,12,0.0000691%
NA,E031,E031,26,0.0001497%
NA,E038,E038,110,0.0006335%
NA,E038,NA,369,0.0021251%
NA,E0380,E0380,43,0.0002476%
NA,E039,E039,146,0.0008408%
NA,E040,E040,64,0.0003686%
NA,E041,E041,91,0.0005241%
NA,E042,E042,258,0.0014858%
NA,E048,E048,14,0.0000806%
NA,E049,E049,134,0.0007717%
NA,E05,E05,76,0.0004377%
NA,E050,E050,384,0.0022115%
NA,E052,E052,82,0.0004722%
NA,E058,E058,24,0.0001382%
NA,E059,E059,347,0.0019984%
NA,E061,E061,98,0.0005644%
NA,E063,E063,51,0.0002937%
NA,E069,E069,28,0.0001613%
NA,E079,E079,13,0.0000749%
NA,E10,E10,404,0.0023266%
NA,E100,E100,67,0.0003859%
NA,E100,NA,44,0.0002534%
NA,E1000,E1000,63,0.0003628%
NA,E1009,E1009,15,0.0000864%
NA,E101,E101,168,0.0009675%
NA,E102,E102,203,0.0011691%
NA,E103,E103,595,0.0034266%
NA,E103,H3600,18,0.0001037%
NA,E103,H3603,30,0.0001728%
NA,E104,E104,82,0.0004722%
NA,E105,E105,60,0.0003455%
NA,E106,E106,20,0.0001152%
NA,E107,E107,1108,0.0063810%
NA,E108,E108,103,0.0005932%
NA,E109,E109,16803,0.0967689%
NA,E11,E11,116,0.0006680%
NA,E110,E110,21,0.0001209%
NA,E110,NA,24,0.0001382%
NA,E1100,E1100,33,0.0001900%
NA,E111,E111,11,0.0000633%
NA,E112,E112,73,0.0004204%
NA,E112N0839,NA,54,0.0003110%
NA,E113,E113,113,0.0006508%
NA,E113,H3601,15,0.0000864%
NA,E113H3609,NA,14,0.0000806%
NA,E114,E114,134,0.0007717%
NA,E114G632,NA,70,0.0004031%
NA,E115,E115,94,0.0005413%
NA,E116,E116,18,0.0001037%
NA,E117,E117,380,0.0021884%
NA,E117,L97,40,0.0002304%
NA,E118,E118,38,0.0002188%
NA,E119,E119,1403,0.0080799%
NA,E139,E139,17,0.0000979%
NA,E14,E14,30,0.0001728%
NA,E149,E149,32,0.0001843%
NA,E160,E160,8,0.0000461%
NA,E162,E162,55,0.0003167%
NA,E21,E21,28,0.0001613%
NA,E210,E210,60,0.0003455%
NA,E2109,E2109,39,0.0002246%
NA,E213,E213,25,0.0001440%
NA,E220,E220,126,0.0007256%
NA,E221,E221,208,0.0011979%
NA,E230,E230,23,0.0001325%
NA,E230,NA,561,0.0032308%
NA,E2300,E2300,44,0.0002534%
NA,E2301,E2301,23,0.0001325%
NA,E232,E232,20,0.0001152%
NA,E250,E250,19,0.0001094%
NA,E260,E260,30,0.0001728%
NA,E260,I152,40,0.0002304%
NA,E271,E271,65,0.0003743%
NA,E282,E282,52,0.0002995%
NA,E283,E283,24,0.0001382%
NA,E300,E300,8,0.0000461%
NA,E301,E301,18,0.0001037%
NA,E3100,E3100,63,0.0003628%
NA,E340,E340,29,0.0001670%
NA,E343,E343,30,0.0001728%
NA,E3430,E3430,9,0.0000518%
NA,E3435,E3435,21,0.0001209%
NA,E3439,E3439,12,0.0000691%
NA,E349,E349,72,0.0004146%
NA,E66,E66,212,0.0012209%
NA,E660,E660,710,0.0040889%
NA,E660,NA,1557,0.0089668%
NA,E6600,E6600,43,0.0002476%
NA,E6601,E6601,56,0.0003225%
NA,E668,E668,209,0.0012036%
NA,E669,E669,44,0.0002534%
NA,E738,E738,11,0.0000633%
NA,E739,E739,20,0.0001152%
NA,E78,E78,16,0.0000921%
NA,E780,E780,169,0.0009733%
NA,E7800,E7800,82,0.0004722%
NA,E7801,E7801,31,0.0001785%
NA,E782,E782,84,0.0004838%
NA,E7821,E7821,9,0.0000518%
NA,E784,E784,15,0.0000864%
NA,E784,NA,34,0.0001958%
NA,E785,E785,52,0.0002995%
NA,E804,E804,9,0.0000518%
NA,E831,E831,111,0.0006393%
NA,E833,E833,55,0.0003167%
NA,E8350,E8350,13,0.0000749%
NA,E86,E86,12,0.0000691%
NA,E871,E871,46,0.0002649%
NA,E875,E875,7,0.0000403%
NA,E876,E876,35,0.0002016%
NA,E890,E890,43,0.0002476%
NA,E890,NA,901,0.0051889%
NA,E8900,E8900,13,0.0000749%
NA,E8901,C7391,26,0.0001497%
NA,E892,E892,18,0.0001037%
NA,F000,G300,10,0.0000576%
NA,F0000G300,NA,37,0.0002131%
NA,F0001,G300,10,0.0000576%
NA,F0004,G300,12,0.0000691%
NA,F0009,G300,165,0.0009502%
NA,F001,G301,192,0.0011057%
NA,F0010G301,NA,502,0.0028910%
NA,F0011,G301,100,0.0005759%
NA,F0011G301,NA,31,0.0001785%
NA,F0012,G301,52,0.0002995%
NA,F0012G301,NA,10,0.0000576%
NA,F0013,G301,26,0.0001497%
NA,F0014,G301,160,0.0009214%
NA,F0019,G301,827,0.0047627%
NA,F001G301,NA,214,0.0012324%
NA,F002,G308,48,0.0002764%
NA,F0020G308,NA,269,0.0015492%
NA,F0021,G301,10,0.0000576%
NA,F0021,G308,25,0.0001440%
NA,F0022,G308,28,0.0001613%
NA,F0023,G308,17,0.0000979%
NA,F0024,G301,10,0.0000576%
NA,F0024,G308,56,0.0003225%
NA,F0029,G308,150,0.0008639%
NA,F002G308,NA,113,0.0006508%
NA,F009,F03,38,0.0002188%
NA,F009,G301,19,0.0001094%
NA,F009,G309,430,0.0024764%
NA,F0203,G310,63,0.0003628%
NA,F0230,G20,55,0.0003167%
NA,F0232,G20,61,0.0003513%
NA,F0239G20,NA,23,0.0001325%
NA,F023G20,NA,19,0.0001094%
NA,F0280,G318,14,0.0000806%
NA,F0289,G318,36,0.0002073%
NA,F03,F03,44,0.0002534%
NA,F059,F059,22,0.0001267%
NA,F063,F063,116,0.0006680%
NA,F10,F10,7,0.0000403%
NA,F100,F100,43,0.0002476%
