CodeId,CODE1,CODE2,freq_finngen,freq_finngen_per
NA,F928,F928,101,0.0005817%
NA,F929,F929,158,0.0009099%
NA,F931,F931,53,0.0003052%
NA,F938,F938,146,0.0008408%
NA,F938,NA,28,0.0001613%
NA,F9380,F9380,25,0.0001440%
NA,F9389,F9389,81,0.0004665%
NA,F941,F941,20,0.0001152%
NA,F952,F952,19,0.0001094%
NA,F980,F980,72,0.0004146%
NA,F9800,F9800,48,0.0002764%
NA,F9801,F9801,14,0.0000806%
NA,F9802,F9802,11,0.0000633%
NA,F982,F982,13,0.0000749%
NA,F988,F988,60,0.0003455%
NA,F989,F989,135,0.0007775%
NA,G039,G039,8,0.0000461%
NA,G060,G060,14,0.0000806%
NA,G119,G119,31,0.0001785%
NA,G20,G20,501,0.0028853%
NA,G211,G211,8,0.0000461%
NA,G218,G218,12,0.0000691%
NA,G240,G240,7,0.0000403%
NA,G241,G241,11,0.0000633%
NA,G243,G243,280,0.0016125%
NA,G245,G245,58,0.0003340%
NA,G248,G248,27,0.0001555%
NA,G249,G249,39,0.0002246%
NA,G250,G250,65,0.0003743%
NA,G251,G251,8,0.0000461%
NA,G252,G252,8,0.0000461%
NA,G253,G253,10,0.0000576%
NA,G258,G258,21,0.0001209%
NA,G259,G259,20,0.0001152%
NA,G301,G301,21,0.0001209%
NA,G301F0010,NA,13,0.0000749%
NA,G312,G312,17,0.0000979%
NA,G35,G35,813,0.0046821%
NA,G379,G379,15,0.0000864%
NA,G40,G40,14,0.0000806%
NA,G400,G400,53,0.0003052%
NA,G4000,G4000,16,0.0000921%
NA,G401,G401,332,0.0019120%
NA,G4010,G4010,57,0.0003283%
NA,G4012,G4012,43,0.0002476%
NA,G4019,G4019,7,0.0000403%
NA,G402,G402,1282,0.0073831%
NA,G4020,G4020,80,0.0004607%
NA,G4022,G4022,15,0.0000864%
NA,G4029,G4029,15,0.0000864%
NA,G403,G403,217,0.0012497%
NA,G4030,G4030,39,0.0002246%
NA,G404,G404,45,0.0002592%
NA,G405,G405,11,0.0000633%
NA,G406,G406,116,0.0006680%
NA,G408,NA,30,0.0001728%
NA,G409,G409,389,0.0022403%
NA,G410,G410,10,0.0000576%
NA,G43,G43,54,0.0003110%
NA,G430,G430,291,0.0016759%
NA,G431,G431,283,0.0016298%
NA,G433,G433,48,0.0002764%
NA,G438,G438,12,0.0000691%
NA,G439,G439,178,0.0010251%
NA,G440,G440,57,0.0003283%
NA,G441,G441,129,0.0007429%
NA,G442,G442,675,0.0038873%
NA,G443,G443,9,0.0000518%
NA,G448,G448,24,0.0001382%
NA,G45,G45,20,0.0001152%
NA,G450,G450,132,0.0007602%
NA,G451,G451,137,0.0007890%
NA,G453,G453,91,0.0005241%
NA,G454,G454,62,0.0003571%
NA,G459,G459,153,0.0008811%
NA,G463I679,NA,22,0.0001267%
NA,G464I679,NA,18,0.0001037%
NA,G468I679,NA,16,0.0000921%
NA,G470,G470,14,0.0000806%
NA,G471,G471,38,0.0002188%
NA,G473,G473,1516,0.0087307%
NA,G479,G479,48,0.0002764%
NA,G500,G500,112,0.0006450%
NA,G501,G501,59,0.0003398%
NA,G51,G51,16,0.0000921%
NA,G510,G510,295,0.0016989%
NA,G513,G513,64,0.0003686%
NA,G521,G521,23,0.0001325%
NA,G530,B028,71,0.0004089%
NA,G530B0220,NA,20,0.0001152%
NA,G530B0221,NA,40,0.0002304%
NA,G540,G540,208,0.0011979%
NA,G546,G546,12,0.0000691%
NA,G548,G548,10,0.0000576%
NA,G549,G549,15,0.0000864%
NA,G551,G551,37,0.0002131%
NA,G551,M480,17,0.0000979%
NA,G551M511,NA,98,0.0005644%
NA,G551M519,NA,78,0.0004492%
NA,G552,G552,25,0.0001440%
NA,G552,M480,32,0.0001843%
NA,G552,M501,109,0.0006277%
NA,G552,M511,15,0.0000864%
NA,G552,M519,14,0.0000806%
NA,G552M479,NA,56,0.0003225%
NA,G553,M511,13,0.0000749%
NA,G56,G56,16,0.0000921%
NA,G560,G560,645,0.0037146%
NA,G561,G561,9,0.0000518%
NA,G562,G562,129,0.0007429%
NA,G563,G563,23,0.0001325%
NA,G564,G564,43,0.0002476%
NA,G568,G568,21,0.0001209%
NA,G569,G569,15,0.0000864%
NA,G570,G570,28,0.0001613%
NA,G571,G571,29,0.0001670%
NA,G572,G572,48,0.0002764%
NA,G573,G573,67,0.0003859%
NA,G575,G575,9,0.0000518%
NA,G576,G576,97,0.0005586%
NA,G578,G578,7,0.0000403%
NA,G580,G580,20,0.0001152%
NA,G588,G588,19,0.0001094%
NA,G590E114,NA,7,0.0000403%
NA,G600,G600,40,0.0002304%
NA,G610,G610,29,0.0001670%
NA,G629,G629,136,0.0007832%
NA,G632,G632,23,0.0001325%
NA,G632E104,NA,67,0.0003859%
NA,G632E114,NA,304,0.0017507%
NA,G64,G64,31,0.0001785%
NA,G70,G70,15,0.0000864%
NA,G700,G700,84,0.0004838%
NA,G7108,G7108,12,0.0000691%
NA,G728,G728,10,0.0000576%
NA,G729,G729,22,0.0001267%
NA,G801,G801,53,0.0003052%
NA,G802,G802,43,0.0002476%
NA,G819,G819,73,0.0004204%
NA,G822,G822,50,0.0002880%
NA,G831,G831,7,0.0000403%
NA,G834,G834,15,0.0000864%
NA,G910,G910,19,0.0001094%
NA,G911,G911,10,0.0000576%
NA,G930,G930,13,0.0000749%
NA,G934,G934,12,0.0000691%
NA,G942,I602,14,0.0000806%
NA,G958,G958,18,0.0001037%
NA,G959,G959,10,0.0000576%
NA,G970,G970,25,0.0001440%
NA,G971,G971,34,0.0001958%
NA,G992,M472,10,0.0000576%
NA,G992,M501,8,0.0000461%
NA,G992,M511,25,0.0001440%
NA,G992M471,NA,37,0.0002131%
NA,G992M479,NA,36,0.0002073%
NA,G992M500,NA,16,0.0000921%
NA,G992M510,NA,22,0.0001267%
NA,H000,H000,15,0.0000864%
NA,H0000,H0000,24,0.0001382%
NA,H001,H001,231,0.0013303%
NA,H010,H010,52,0.0002995%
NA,H011,H011,11,0.0000633%
NA,H020,H020,58,0.0003340%
NA,H021,H021,16,0.0000921%
NA,H022,H022,9,0.0000518%
NA,H023,H023,213,0.0012267%
NA,H024,H024,53,0.0003052%
NA,H026,H026,17,0.0000979%
NA,H031,H031,10,0.0000576%
NA,H031B005,NA,16,0.0000921%
NA,H031B023,NA,18,0.0001037%
NA,H041,H041,30,0.0001728%
NA,H0410,H0410,117,0.0006738%
NA,H042,H042,18,0.0001037%
NA,H043,H043,15,0.0000864%
NA,H044,H044,28,0.0001613%
NA,H045,H045,144,0.0008293%
NA,H052,H052,36,0.0002073%
NA,H062,E050,721,0.0041523%
NA,H062,H062,24,0.0001382%
NA,H10,H10,6,0.0000346%
NA,H100,H100,24,0.0001382%
NA,H101,H101,74,0.0004262%
NA,H103,H103,190,0.0010942%
NA,H104,H104,86,0.0004953%
NA,H105,H105,29,0.0001670%
NA,H109,H109,50,0.0002880%
NA,H110,H110,32,0.0001843%
NA,H111,H111,66,0.0003801%
NA,H113,H113,39,0.0002246%
NA,H114,H114,33,0.0001900%
NA,H150,H150,17,0.0000979%
NA,H151,H151,101,0.0005817%
NA,H160,H160,349,0.0020099%
NA,H161,H161,33,0.0001900%
NA,H162,H162,69,0.0003974%
NA,H169,H169,69,0.0003974%
NA,H171,H171,12,0.0000691%
NA,H178,H178,10,0.0000576%
NA,H184,H184,10,0.0000576%
NA,H185,H185,35,0.0002016%
NA,H186,H186,89,0.0005126%
NA,H188,H188,68,0.0003916%
NA,H191,B023,11,0.0000633%
NA,H191,H191,63,0.0003628%
NA,H191B005,NA,17,0.0000979%
NA,H192,H192,12,0.0000691%
NA,H192B023,NA,17,0.0000979%
NA,H193,H193,18,0.0001037%
NA,H193M350,NA,14,0.0000806%
NA,H200,H200,1113,0.0064098%
NA,H201,H201,383,0.0022057%
NA,H221,M083,202,0.0011633%
NA,H221,M084,156,0.0008984%
NA,H25,H25,30,0.0001728%
NA,H250,H250,123,0.0007084%
NA,H251,H251,953,0.0054884%
NA,H258,H258,270,0.0015549%
NA,H259,H259,15,0.0000864%
NA,H260,H260,43,0.0002476%
NA,H2602,H2602,170,0.0009790%
NA,H261,H261,17,0.0000979%
NA,H262,H262,73,0.0004204%
NA,H263,H263,33,0.0001900%
NA,H264,H264,231,0.0013303%
NA,H270,H270,66,0.0003801%
NA,H330,H330,331,0.0019062%
NA,H331,H331,24,0.0001382%
NA,H333,H333,95,0.0005471%
NA,H334,H334,10,0.0000576%
NA,H341,H341,25,0.0001440%
NA,H342,H342,22,0.0001267%
NA,H348,H348,171,0.0009848%
NA,H350,H350,52,0.0002995%
NA,H351,H351,11,0.0000633%
NA,H353,H353,82,0.0004722%
NA,H353,NA,9,0.0000518%
NA,H3530,H3530,72,0.0004146%
NA,H3531,H3531,46,0.0002649%
NA,H3539,H3539,70,0.0004031%
NA,H354,H354,52,0.0002995%
NA,H355,H355,87,0.0005010%
NA,H356,H356,20,0.0001152%
NA,H357,H357,84,0.0004838%
NA,H360,E103,157,0.0009042%
NA,H360,E113,67,0.0003859%
NA,H360,NA,14,0.0000806%
NA,H3600,E102,7,0.0000403%
NA,H3600,E103,3202,0.0184404%
NA,H3600,E107,43,0.0002476%
NA,H3600,E109,173,0.0009963%
NA,H3600,E1100,13,0.0000749%
NA,H3600,E113,2180,0.0125547%
NA,H3600,E117,40,0.0002304%
NA,H3600,E119,59,0.0003398%
NA,H3600,H3600,207,0.0011921%
NA,H3601,E103,4053,0.0233413%
NA,H3601,E107,98,0.0005644%
NA,H3601,E109,111,0.0006393%
NA,H3601,E1100,45,0.0002592%
NA,H3601,E113,6301,0.0362876%
NA,H3601,E117,234,0.0013476%
NA,H3601,E119,77,0.0004434%
NA,H3601,H3601,137,0.0007890%
NA,H3602,E102,10,0.0000576%
NA,H3602,E103,733,0.0042214%
NA,H3602,E107,43,0.0002476%
NA,H3602,E109,28,0.0001613%
NA,H3602,E113,369,0.0021251%
NA,H3602,E117,65,0.0003743%
NA,H3602,E119,13,0.0000749%
NA,H3602,H3602,13,0.0000749%
NA,H3603,E1000,20,0.0001152%
NA,H3603,E101,19,0.0001094%
NA,H3603,E102,53,0.0003052%
NA,H3603,E103,10339,0.0595426%
NA,H3603,E107,482,0.0027759%
NA,H3603,E109,292,0.0016816%
NA,H3603,E1100,21,0.0001209%
NA,H3603,E113,3667,0.0211183%
NA,H3603,E117,102,0.0005874%
NA,H3603,E119,71,0.0004089%
NA,H3603,H103,11,0.0000633%
NA,H3603,H3603,133,0.0007660%
NA,H3603,H431,23,0.0001325%
NA,H3605,E103,18,0.0001037%
NA,H3609,E109,22,0.0001267%
NA,H3609,H3609,125,0.0007199%
NA,H3609E103,NA,117,0.0006738%
NA,H3609E113,NA,101,0.0005817%
NA,H40,H40,7,0.0000403%
NA,H400,H400,457,0.0026319%
NA,H401,H401,112,0.0006450%
NA,H4010,H4010,301,0.0017335%
NA,H4011,H4011,120,0.0006911%
NA,H4012,H4012,42,0.0002419%
NA,H4013,H4013,584,0.0033633%
NA,H4019,H4019,19,0.0001094%
NA,H4020,H4020,34,0.0001958%
NA,H4022,H4022,74,0.0004262%
NA,H403,H403,21,0.0001209%
NA,H404,H404,21,0.0001209%
NA,H405,H405,84,0.0004838%
NA,H408,H408,45,0.0002592%
NA,H409,H409,12,0.0000691%
NA,H431,H431,158,0.0009099%
NA,H433,H433,48,0.0002764%
NA,H438,H438,141,0.0008120%
NA,H442,H442,15,0.0000864%
NA,H46,H46,149,0.0008581%
NA,H470,H470,9,0.0000518%
NA,H471,H471,29,0.0001670%
NA,H472,H472,52,0.0002995%
NA,H473,H473,14,0.0000806%
NA,H490,H490,23,0.0001325%
NA,H491,H491,37,0.0002131%
NA,H492,H492,50,0.0002880%
NA,H50,H50,10,0.0000576%
NA,H500,H500,275,0.0015837%
NA,H501,H501,88,0.0005068%
NA,H502,H502,45,0.0002592%
NA,H503,H503,42,0.0002419%
NA,H5030,H5030,69,0.0003974%
NA,H5031,H5031,175,0.0010078%
NA,H505,H505,13,0.0000749%
NA,H5051,H5051,37,0.0002131%
NA,H5052,H5052,158,0.0009099%
NA,H511,H511,104,0.0005989%
NA,H520,H520,128,0.0007372%
NA,H521,H521,281,0.0016183%
NA,H522,H522,79,0.0004550%
NA,H523,H523,40,0.0002304%
NA,H524,H524,41,0.0002361%
NA,H530,H530,208,0.0011979%
NA,H531,H531,119,0.0006853%
NA,H532,H532,162,0.0009330%
NA,H533,H533,58,0.0003340%
NA,H534,H534,158,0.0009099%
NA,H535,H535,11,0.0000633%
NA,H539,H539,33,0.0001900%
NA,H542,H542,15,0.0000864%
NA,H544,H544,12,0.0000691%
NA,H55,H55,20,0.0001152%
NA,H570,H570,18,0.0001037%
NA,H571,H571,31,0.0001785%
NA,H579,H579,100,0.0005759%
NA,H600,H600,16,0.0000921%
NA,H603,H603,189,0.0010885%
NA,H604,H604,30,0.0001728%
NA,H605,H605,140,0.0008063%
NA,H608,H608,188,0.0010827%
NA,H609,H609,14,0.0000806%
NA,H612,H612,36,0.0002073%
NA,H618,H618,68,0.0003916%
NA,H620A46,NA,75,0.0004319%
NA,H65,H65,17,0.0000979%
NA,H650,H650,74,0.0004262%
NA,H651,H651,79,0.0004550%
NA,H652,H652,135,0.0007775%
NA,H653,H653,442,0.0025455%
NA,H654,H654,71,0.0004089%
NA,H659,H659,183,0.0010539%
NA,H66,H66,81,0.0004665%
NA,H660,H660,381,0.0021942%
NA,H661,H661,62,0.0003571%
NA,H663,H663,76,0.0004377%
NA,H664,H664,84,0.0004838%
NA,H669,H669,246,0.0014167%
NA,H681,H681,11,0.0000633%
NA,H690,H690,33,0.0001900%
NA,H701,H701,69,0.0003974%
NA,H71,H71,555,0.0031963%
NA,H72,H72,28,0.0001613%
NA,H720,H720,348,0.0020041%
NA,H722,H722,31,0.0001785%
NA,H729,H729,92,0.0005298%
NA,H741,H741,56,0.0003225%
NA,H742,H742,13,0.0000749%
NA,H80,H80,64,0.0003686%
NA,H800,H800,279,0.0016068%
NA,H801,H801,93,0.0005356%
NA,H8020,H8020,14,0.0000806%
NA,H808,H808,22,0.0001267%
NA,H809,H809,153,0.0008811%
NA,H810,H810,474,0.0027298%
NA,H811,H811,227,0.0013073%
NA,H812,H812,98,0.0005644%
NA,H813,H813,107,0.0006162%
NA,H814,H814,14,0.0000806%
NA,H819,H819,22,0.0001267%
NA,H833,H833,34,0.0001958%
NA,H90,H90,72,0.0004146%
NA,H900,H900,80,0.0004607%
NA,H901,H901,141,0.0008120%
NA,H902,H902,23,0.0001325%
NA,H903,H903,1824,0.0105045%
NA,H904,H904,349,0.0020099%
NA,H905,H905,56,0.0003225%
NA,H906,H906,200,0.0011518%
NA,H907,H907,72,0.0004146%
NA,H908,H908,12,0.0000691%
NA,H911,H911,129,0.0007429%
NA,H912,H912,200,0.0011518%
NA,H919,H919,22,0.0001267%
NA,H920,H920,34,0.0001958%
NA,H931,H931,451,0.0025973%
NA,H950,H950,27,0.0001555%
NA,I050,I050,23,0.0001325%
NA,I060,I060,31,0.0001785%
NA,I061,I061,6,0.0000346%
NA,I069,I069,6,0.0000346%
NA,I10,I10,1763,0.0101532%
NA,I110,I110,26,0.0001497%
NA,I119,I119,87,0.0005010%
NA,I150,I150,46,0.0002649%
NA,I151,I151,16,0.0000921%
NA,I152,E260,16,0.0000921%
NA,I159,I159,33,0.0001900%
NA,I20,I20,130,0.0007487%
NA,I200,I200,124,0.0007141%
NA,I2000,I2000,55,0.0003167%
NA,I2001,I2001,28,0.0001613%
NA,I2009,I2009,119,0.0006853%
NA,I201,I201,7,0.0000403%
NA,I2010,I2010,15,0.0000864%
NA,I208,I208,489,0.0028162%
NA,I2080,I2080,89,0.0005126%
NA,I2081,I2081,502,0.0028910%
NA,I2088,I2088,18,0.0001037%
NA,I2089,I2089,475,0.0027355%
NA,I209,I209,346,0.0019926%
NA,I2090,I2090,187,0.0010769%
NA,I2091,I2091,119,0.0006853%
NA,I2099,I2099,212,0.0012209%
NA,I210,I210,40,0.0002304%
NA,I2100,I2100,21,0.0001209%
NA,I2109,I2109,39,0.0002246%
NA,I211,I211,43,0.0002476%
NA,I2110,I2110,15,0.0000864%
NA,I2119,I2119,31,0.0001785%
NA,I212,I212,12,0.0000691%
NA,I214,I214,20,0.0001152%
NA,I2140,I2140,24,0.0001382%
NA,I2149,I2149,19,0.0001094%
NA,I219,I219,63,0.0003628%
NA,I2190,I2190,36,0.0002073%
NA,I2199,I2199,21,0.0001209%
NA,I25,I25,12,0.0000691%
NA,I250,I250,138,0.0007947%
NA,I251,I251,807,0.0046475%
NA,I252,I252,998,0.0057475%
NA,I255,I255,15,0.0000864%
NA,I258,I258,18,0.0001037%
NA,I259,I259,298,0.0017162%
NA,I26,I26,9,0.0000518%
NA,I260,I260,12,0.0000691%
NA,I269,I269,101,0.0005817%
NA,I309,I309,26,0.0001497%
NA,I319,I319,27,0.0001555%
NA,I340,I340,113,0.0006508%
NA,I3400,I3400,49,0.0002822%
NA,I3409,I3409,31,0.0001785%
NA,I341,I341,221,0.0012727%
NA,I349,I349,42,0.0002419%
NA,I350,I350,277,0.0015953%
NA,I351,I351,264,0.0015204%
NA,I352,I352,123,0.0007084%
NA,I400,I400,27,0.0001555%
NA,I409,I409,38,0.0002188%
NA,I42,I42,15,0.0000864%
NA,I420,I420,313,0.0018026%
NA,I421,I421,63,0.0003628%
NA,I422,I422,68,0.0003916%
NA,I429,I429,59,0.0003398%
NA,I440,I440,7,0.0000403%
NA,I441,I441,47,0.0002707%
NA,I442,I442,105,0.0006047%
NA,I447,I447,22,0.0001267%
NA,I450,I450,14,0.0000806%
NA,I456,I456,29,0.0001670%
NA,I459,I459,19,0.0001094%
NA,I47,I47,8,0.0000461%
NA,I470,I470,9,0.0000518%
NA,I471,I471,374,0.0021539%
NA,I472,I472,89,0.0005126%
NA,I479,I479,81,0.0004665%
NA,I48,I10,9,0.0000518%
NA,I48,I48,2517,0.0144955%
NA,I49,I49,9,0.0000518%
NA,I490,I490,20,0.0001152%
NA,I491,I491,65,0.0003743%
NA,I493,I493,270,0.0015549%
NA,I494,I494,133,0.0007660%
NA,I495,I495,166,0.0009560%
NA,I498,I498,33,0.0001900%
NA,I499,I499,351,0.0020214%
NA,I50,I50,19,0.0001094%
NA,I500,I500,89,0.0005126%
NA,I501,I501,81,0.0004665%
NA,I509,I509,116,0.0006680%
NA,I601,I601,25,0.0001440%
NA,I602,I602,21,0.0001209%
NA,I607,I607,9,0.0000518%
NA,I609,I609,33,0.0001900%
NA,I610,I610,103,0.0005932%
NA,I611,I611,20,0.0001152%
NA,I614,I614,12,0.0000691%
NA,I619,I619,15,0.0000864%
NA,I620,I620,7,0.0000403%
NA,I63,I63,22,0.0001267%
NA,I630,I630,15,0.0000864%
NA,I631,I631,11,0.0000633%
NA,I632,I632,63,0.0003628%
NA,I633,I633,196,0.0011288%
NA,I634,I634,55,0.0003167%
NA,I638,I638,21,0.0001209%
NA,I639,I639,303,0.0017450%
NA,I64,I64,14,0.0000806%
NA,I652,I652,41,0.0002361%
NA,I653,I653,6,0.0000346%
NA,I671,I671,36,0.0002073%
NA,I679,I679,16,0.0000921%
NA,I679G468,NA,10,0.0000576%
NA,I690,I690,16,0.0000921%
NA,I691,I691,12,0.0000691%
NA,I693,I693,149,0.0008581%
NA,I70,I70,9,0.0000518%
NA,I700,I700,6,0.0000346%
NA,I701,I701,10,0.0000576%
NA,I702,I702,918,0.0052868%
NA,I702,L97,73,0.0004204%
NA,I702,R262,7,0.0000403%
NA,I708,I708,8,0.0000461%
NA,I709,I709,11,0.0000633%
NA,I710,NA,76,0.0004377%
NA,I712,I712,21,0.0001209%
NA,I714,I714,60,0.0003455%
NA,I719,I719,28,0.0001613%
NA,I730,I730,95,0.0005471%
NA,I739,I739,21,0.0001209%
NA,I743,I743,20,0.0001152%
NA,I780,I780,10,0.0000576%
NA,I781,I781,23,0.0001325%
NA,I788,I788,15,0.0000864%
NA,I792E115,NA,40,0.0002304%
NA,I80,I80,16,0.0000921%
NA,I800,I800,60,0.0003455%
NA,I801,I801,10,0.0000576%
NA,I802,I802,42,0.0002419%
NA,I802,NA,50,0.0002880%
NA,I8020,I8020,9,0.0000518%
NA,I8029,I8029,62,0.0003571%
NA,I803,I803,188,0.0010827%
NA,I808,I808,11,0.0000633%
NA,I809,I809,8,0.0000461%
NA,I828,I828,6,0.0000346%
NA,I828,NA,10,0.0000576%
NA,I8288,I8288,18,0.0001037%
NA,I829,I829,53,0.0003052%
NA,I83,I83,23,0.0001325%
NA,I830,I830,158,0.0009099%
NA,I831,I831,83,0.0004780%
NA,I832,I832,7,0.0000403%
NA,I839,I839,1133,0.0065250%
NA,I84,I84,21,0.0001209%
NA,I840,I840,13,0.0000749%
NA,I841,I841,44,0.0002534%
NA,I842,I842,554,0.0031905%
NA,I843,I843,39,0.0002246%
NA,I844,I844,12,0.0000691%
NA,I845,I845,144,0.0008293%
NA,I846,I846,9,0.0000518%
NA,I847,I847,11,0.0000633%
NA,I848,I848,33,0.0001900%
NA,I849,I849,462,0.0026607%
NA,I859,I859,28,0.0001613%
NA,I861,I861,49,0.0002822%
NA,I870,I870,21,0.0001209%
NA,I872,I872,70,0.0004031%
NA,I889,I889,14,0.0000806%
NA,I890,I890,14,0.0000806%
NA,I951,I951,23,0.0001325%
NA,J00,J00,68,0.0003916%
NA,J01,J01,15,0.0000864%
NA,J010,J010,1132,0.0065192%
NA,J011,J011,117,0.0006738%
NA,J014,J014,75,0.0004319%
NA,J018,J018,10,0.0000576%
NA,J019,J019,31,0.0001785%
NA,J020,J020,7,0.0000403%
NA,J029,J029,56,0.0003225%
NA,J03,J03,9,0.0000518%
NA,J030,J030,27,0.0001555%
NA,J039,J039,306,0.0017623%
NA,J040,J040,171,0.0009848%
NA,J050,J050,20,0.0001152%
NA,J060,J060,10,0.0000576%
NA,J068,J068,7,0.0000403%
NA,J068,NA,18,0.0001037%
NA,J069,J069,594,0.0034209%
NA,J100,J100,9,0.0000518%
NA,J111,J111,33,0.0001900%
NA,J129,J129,33,0.0001900%
NA,J13,J13,29,0.0001670%
NA,J150,J150,11,0.0000633%
NA,J158,J158,9,0.0000518%
NA,J159,J159,351,0.0020214%
NA,J160,J160,12,0.0000691%
NA,J180,J180,16,0.0000921%
NA,J181,J181,24,0.0001382%
NA,J189,J189,398,0.0022921%
NA,J20,J20,10,0.0000576%
NA,J200,J200,11,0.0000633%
NA,J209,J209,164,0.0009445%
NA,J210,J210,24,0.0001382%
NA,J219,J219,220,0.0012670%
NA,J22,J22,36,0.0002073%
NA,J30,J30,18,0.0001037%
NA,J300,J300,152,0.0008754%
NA,J301,J301,419,0.0024130%
NA,J301,NA,40,0.0002304%
NA,J3010,J3010,683,0.0039334%
NA,J303,J303,254,0.0014628%
NA,J304,J304,191,0.0011000%
NA,J31,J31,11,0.0000633%
NA,J310,J310,515,0.0029659%
NA,J311,J311,15,0.0000864%
NA,J312,J312,25,0.0001440%
NA,J32,J32,47,0.0002707%
NA,J320,J320,1602,0.0092260%
NA,J321,J321,63,0.0003628%
NA,J322,J322,80,0.0004607%
NA,J324,J324,127,0.0007314%
NA,J328,J328,28,0.0001613%
NA,J329,J329,28,0.0001613%
NA,J330,J330,337,0.0019408%
NA,J331,J331,22,0.0001267%
NA,J338,J338,241,0.0013879%
NA,J34,J34,37,0.0002131%
NA,J340,J340,18,0.0001037%
NA,J341,J341,199,0.0011460%
NA,J342,J342,638,0.0036743%
NA,J343,J343,28,0.0001613%
NA,J348,J348,34,0.0001958%
NA,J35,J35,25,0.0001440%
NA,J350,J350,418,0.0024073%
NA,J351,J351,91,0.0005241%
NA,J352,J352,224,0.0012900%
NA,J353,J353,45,0.0002592%
NA,J358,J358,27,0.0001555%
NA,J36,J36,403,0.0023209%
NA,J370,J370,151,0.0008696%
NA,J380,J380,147,0.0008466%
NA,J381,J381,99,0.0005701%
NA,J382,J382,91,0.0005241%
NA,J383,J383,49,0.0002822%
NA,J384,J384,34,0.0001958%
NA,J386,J386,13,0.0000749%
NA,J387,J387,15,0.0000864%
NA,J39,J39,14,0.0000806%
NA,J390,J390,28,0.0001613%
NA,J392,J392,12,0.0000691%
NA,J393,J393,24,0.0001382%
NA,J399,J399,10,0.0000576%
NA,J40,J40,65,0.0003743%
NA,J410,J410,27,0.0001555%
NA,J411,J411,24,0.0001382%
NA,J42,J42,43,0.0002476%
NA,J431,J431,11,0.0000633%
NA,J439,J439,36,0.0002073%
NA,J44,J44,9,0.0000518%
NA,J440,J440,9,0.0000518%
NA,J441,J441,13,0.0000749%
NA,J448,J448,771,0.0044402%
NA,J449,J449,131,0.0007544%
NA,J45,J45,110,0.0006335%
NA,J450,J450,4212,0.0242570%
NA,J451,J451,2623,0.0151059%
NA,J458,J458,662,0.0038125%
NA,J459,J459,2016,0.0116102%
NA,J46,J46,85,0.0004895%
NA,J47,J47,130,0.0007487%
NA,J61,J61,36,0.0002073%
NA,J668,J668,8,0.0000461%
NA,J670,J670,71,0.0004089%
NA,J679,J679,42,0.0002419%
NA,J690,J690,9,0.0000518%
NA,J80,J80,12,0.0000691%
NA,J82,J82,78,0.0004492%
NA,J841,J841,79,0.0004550%
NA,J848,J848,19,0.0001094%
NA,J849,J849,46,0.0002649%
NA,J860,NA,6,0.0000346%
NA,J869,J869,13,0.0000749%
NA,J90,J90,224,0.0012900%
NA,J92,J92,11,0.0000633%
NA,J920,J920,69,0.0003974%
NA,J929,J929,34,0.0001958%
NA,J931,J931,33,0.0001900%
NA,J948,J948,24,0.0001382%
NA,J980,J980,15,0.0000864%
NA,J981,J981,24,0.0001382%
NA,K000,NA,67,0.0003859%
NA,K0000,K0000,91,0.0005241%
NA,K0063,NA,45,0.0002592%
NA,K010,K010,121,0.0006968%
NA,K011,K011,19,0.0001094%
NA,K0117,K0117,9,0.0000518%
NA,K02,K02,14,0.0000806%
NA,K021,K021,176,0.0010136%
NA,K028,K028,9,0.0000518%
NA,K029,K029,28,0.0001613%
NA,K0369,NA,44,0.0002534%
NA,K038,NA,144,0.0008293%
NA,K040,K040,20,0.0001152%
NA,K0401,NA,1162,0.0066920%
NA,K0402,NA,82,0.0004722%
NA,K0403,NA,106,0.0006105%
NA,K0404,NA,119,0.0006853%
NA,K0405,NA,18,0.0001037%
NA,K041,K041,12,0.0000691%
NA,K044,K044,11,0.0000633%
NA,K045,K045,127,0.0007314%
NA,K046,K046,25,0.0001440%
NA,K0469,K0469,8,0.0000461%
NA,K047,K047,99,0.0005701%
NA,K048,K048,48,0.0002764%
NA,K0480,K0480,45,0.0002592%
NA,K052,K052,18,0.0001037%
NA,K0520,K0520,20,0.0001152%
NA,K0522,K0522,11,0.0000633%
NA,K053,K053,72,0.0004146%
NA,K0530,K0530,43,0.0002476%
NA,K0531,K0531,45,0.0002592%
NA,K0532,K0532,13,0.0000749%
NA,K062,K062,6,0.0000346%
NA,K07,K07,14,0.0000806%
NA,K070,K070,62,0.0003571%
NA,K0700,K0700,40,0.0002304%
NA,K0701,K0701,21,0.0001209%
NA,K0704,K0704,105,0.0006047%
NA,K071,K071,224,0.0012900%
NA,K0710,K0710,128,0.0007372%
NA,K0711,K0711,31,0.0001785%
NA,K0713,K0713,344,0.0019811%
NA,K0714,K0714,8,0.0000461%
NA,K0718,K0718,16,0.0000921%
NA,K072,K072,9,0.0000518%
NA,K0723,K0723,33,0.0001900%
NA,K0724,K0724,71,0.0004089%
NA,K0725,K0725,57,0.0003283%
NA,K0730,K0730,13,0.0000749%
NA,K0731,NA,24,0.0001382%
NA,K074,K074,42,0.0002419%
NA,K0750,K0750,10,0.0000576%
NA,K076,K076,229,0.0013188%
NA,K0760,K0760,403,0.0023209%
NA,K0762,K0762,20,0.0001152%
