"","CODE1","n_codes","n_patients"
"280","5920A",285,130
"281","8134A",283,233
"282","4110X",281,229
"283","2392A",278,238
"284","6528B",278,273
"285","5531A",276,262
"286","7178C",274,205
"287","8100A",273,183
"288","7233A",272,201
"289","0786A",271,248
"290","8450C",271,249
"291","2500X",270,189
"292","5608A",270,215
"293","7352A",270,241
"294","8361A",270,245
"295","3821A",268,203
"296","8210A",266,144
"297","1930A",264,119
"298","4620A",264,249
"299","6341A",264,248
"300","3016A",263,111
"301","4741D",263,251
"302","5770A",263,185
"303","6565A",263,209
"304","5119X",261,144
"305","7879X",260,237
"306","6430A",259,191
"307","2961A",257,125
"308","6030A",257,238
"309","3153A",254,99
"310","7244A",254,196
"311","7807A",251,210
"312","5640A",249,199
"313","2393A",248,236
"314","7847A",248,201
"315","6533B",247,216
"316","V628A",247,96
"317","5401A",246,197
"318","5790A",246,114
"319","5937A",246,102
"320","6620B",244,240
"321","4912B",241,101
"322","6111A",241,212
"323","6213B",241,201
"324","6101A",239,231
"325","5400B",238,234
"326","6542A",238,224
"327","3460A",237,182
"328","4658X",236,222
"329","8124A",234,154
"330","4559X",232,221
"331","8020A",232,204
"332","6282A",231,152
"333","6929B",231,163
"334","4254A",230,66
"335","2507A",229,115
"336","3092E",229,164
"337","6670A",228,221
"338","6671A",228,220
"339","7143D",227,70
"340","3094A",226,108
"341","4300A",226,117
"342","5651A",226,189
"343","7274X",226,215
"344","3454B",224,94
"345","6660C",224,211
"346","7227A",224,147
"347","1820A",223,90
"348","3842A",222,191
"349","6598B",218,205
"350","6661A",218,214
"351","7152F",217,174
"352","3000B",216,106
"353","4289X",216,145
"354","5355X",216,198
"355","5910A",216,128
"356","7270X",216,199
"357","6929X",214,150
"358","7327A",214,154
"359","2800A",211,168
"360","4351A",211,158
"361","5781A",210,176
"362","6419A",210,180
"363","7931A",210,147
"364","2000B",209,30
"365","3650A",209,179
"366","2419X",207,203
"367","4781C",207,202
"368","9800A",207,181
