concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
2462,4183240,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2471,4219003,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2472,4219003,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2487,436659,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2540,434894,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2545,434007,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2563,4101602,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2567,4119134,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2574,432870,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2588,4190500,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2589,4170270,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2599,313989,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2642,440368,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2644,436385,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2654,436944,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2656,437243,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2658,4286201,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2661,436673,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2665,4286201,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2666,4008566,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2668,4105330,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2670,4194671,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2675,36717092,Maps to,2017-01-31,2099-12-31,NA,USAGI,Condition
2676,42872722,Maps to,2012-07-31,2099-12-31,NA,USAGI,Condition
2677,4250023,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2704,432590,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2707,4182683,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2708,43022060,Maps to,2013-01-31,2099-12-31,NA,USAGI,Condition
2718,442077,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2732,4103574,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2741,434010,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2749,434626,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2751,441838,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2775,435243,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2775,4218106,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2786,4104431,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2798,436675,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2804,435524,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2807,440087,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2820,442306,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2871,4240481,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2905,440700,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2920,4319906,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2925,436391,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2944,377539,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2954,374919,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2961,374022,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2977,374924,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2979,4332304,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2980,4216711,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2987,374023,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2990,380378,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2998,436100,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2999,442588,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3019,379801,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3040,137548,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3042,74635,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3049,380094,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3053,4256912,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3059,195259,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3077,4296728,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3077,4164770,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3078,378421,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3085,76685,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3100,432621,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3104,4107917,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3115,381282,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3120,376683,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3121,380096,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3144,437850,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3155,4176864,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3156,434926,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3156,441283,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3157,434926,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3168,4008573,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3182,4334259,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3185,4195502,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3190,4220818,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3192,40479994,Maps to,2009-07-31,2099-12-31,NA,USAGI,Condition
3193,381295,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3194,376401,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3195,376973,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3196,376979,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3203,376415,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3204,379805,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3205,378424,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3206,4109104,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3212,372896,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3214,373474,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3224,4290687,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3230,380397,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3239,372635,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3241,374362,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3246,376707,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3247,374036,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3248,379019,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3249,375552,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3250,381580,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3256,374347,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3256,378425,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3258,381581,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3266,374044,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3276,438761,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3277,438760,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3296,435269,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3297,379818,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3305,377877,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3306,377877,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3307,377877,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3308,4163410,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3310,377294,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3311,4100058,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3313,4009187,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3314,373212,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3315,380109,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3317,381862,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3322,4143372,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3325,381033,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3327,4316061,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3330,378165,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3351,374948,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3352,4214270,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3353,381592,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3360,439264,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3361,377886,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3365,4301700,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3366,372651,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3369,375291,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3371,375292,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3375,378765,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3382,437496,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3387,439035,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3393,377575,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3419,4313828,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3424,439834,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3434,320128,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3436,4111554,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3452,312327,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3471,321318,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3480,314666,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3480,4198141,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3484,314666,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3493,321318,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3497,321318,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3506,40481919,Maps to,2010-01-31,2099-12-31,NA,USAGI,Condition
3510,40481919,Maps to,2010-01-31,2099-12-31,NA,USAGI,Condition
3516,4185932,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3559,4190773,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3560,4124693,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3562,4163710,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3563,318773,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3575,4253363,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3576,437892,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3579,317893,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3580,437579,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3581,313792,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3582,4108832,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3583,437894,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3585,441872,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3586,4066289,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3591,316139,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3601,321588,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3614,4111709,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3624,441874,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3635,4278243,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3637,312938,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3646,434056,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3649,4140207,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3650,37312134,Maps to,2020-03-09,2099-12-31,NA,USAGI,Condition
3686,196431,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3706,4236340,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3710,77310,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3725,4181705,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3727,201322,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3731,4305808,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3731,201322,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3731,199839,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3734,195562,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3756,4070679,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3762,4197268,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3771,25297,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3773,24660,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3775,30133,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3777,31597,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3778,4141503,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3778,4105773,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3781,23798,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3783,257011,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3785,260139,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3786,260125,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3788,377910,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3791,4034382,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3795,4112497,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3797,4305500,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3798,26711,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3800,134668,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3802,132932,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3807,4234533,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3808,28457,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
