code,freq_finngen,freq_total
8730A,197,197
5350A,194,194
4618A,193,193
5120A,193,193
8310B,193,193
3041A,192,192
7531A,192,192
7860C,190,190
8120A,190,190
9200A,190,190
4540A,189,189
7863A,189,189
8232A,189,189
2390A,188,188
5552A,188,188
8500C,188,188
1850A,187,187
5660A,186,186
8220A,186,186
9221A,185,185
7288A,184,184
5609X,183,183
7267A,183,183
3000C,182,182
3853A,182,182
6424B,182,182
8200A,182,182
4940A,181,181
5532A,181,181
5828A,181,181
6150A,181,181
7080A,181,181
2809X,180,180
2961B,180,180
2505A,179,179
3542A,179,179
2910A,178,178
2967A,178,178
6489X,177,177
2449X,176,176
3071A,176,176
5641A,176,176
2280A,175,175
3430A,175,175
4611A,175,175
9070A,175,175
7651B,174,174
6425A,173,173
7261A,173,173
7199F,172,172
2953A,170,170
7148X,170,170
7373A,170,170
7525A,170,170
6182A,169,169
V500A,169,169
0388X,168,168
4784A,168,168
0499X,167,167
2962C,167,167
3620B,167,167
5645A,167,167
7249X,167,167
2410A,165,165
V200A,165,165
0750X,164,164
0799X,163,163
3861A,163,163
2956E,162,162
4278X,162,162
4565A,162,162
3663A,161,161
7543A,161,161
3009X,160,160
3891A,160,160
4538X,160,160
5770F,160,160
5990C,160,160
6268X,160,160
9056A,160,160
6162A,159,159
5400A,158,158
7214A,158,158
2505B,157,157
5900A,157,157
2713A,156,156
3320A,156,156
3461A,155,155
6531A,155,155
9351A,155,155
3017A,154,154
3170B,154,154
6288A,152,152
6850A,152,152
1742A,151,151
3478X,151,151
3743B,151,151
4109X,151,151
7287A,151,151
3782B,149,149
4110B,149,149
7384A,149,149
9964A,148,148
4241A,147,147
4732A,147,147
7270B,147,147
2873A,146,146
3170A,146,146
3651B,146,146
4267A,146,146
4939B,146,146
5950A,146,146
6208X,146,146
3141A,145,145
4240B,145,145
5819X,145,145
5829A,145,145
7151D,145,145
8130A,145,145
9223A,145,145
0350A,144,144
4278A,143,143
4564A,143,143
6462A,143,143
7856A,143,143
4359X,141,141
3781B,140,140
5353A,140,140
6568B,140,140
7442C,140,140
0084F,139,139
2273A,139,139
3882A,139,139
2420A,137,137
6654B,137,137
7224A,137,137
9213A,137,137
6565B,135,135
7152E,135,135
4950A,134,134
5690A,134,134
6466A,133,133
6601B,133,133
6631A,133,133
7276F,133,133
7707A,133,133
3138C,132,132
3431A,132,132
4760A,132,132
5550A,132,132
7275A,132,132
2913A,131,131
7151L,131,131
9693X,131,131
4331A,130,130
4350A,130,130
6584B,130,130
8134B,130,130
8448A,130,130
1749X,129,129
4341A,129,129
6748X,129,129
2859X,128,128
4240A,128,128
2740A,127,127
4552A,127,127
1748X,126,126
2720X,126,126
5210A,126,126
5560A,126,126
7143B,126,126
7062A,125,125
2962D,124,124
3530A,124,124
3860A,124,124
5551A,124,124
7089X,123,123
7178X,123,123
7270A,123,123
2506B,122,122
6830A,122,122
7455A,122,122
4310A,121,121
4464A,121,121
4557A,121,121
8054A,121,121
8734A,121,121
2959D,120,120
3580A,120,120
5850B,120,120
2016A,119,119
6081A,119,119
6418A,119,119
6468X,119,119
8421B,119,119
4650A,118,118
5712A,118,118
6141A,118,118
9240A,118,118
2395A,117,117
4271A,117,117
4750A,117,117
5839X,117,117
5322A,116,116
6412B,116,116
0609X,115,115
1541A,115,115
5745A,115,115
7199X,115,115
7288X,115,115
3490A,114,114
5781B,114,114
7802A,114,114
4059B,113,113
4661A,113,113
5322B,113,113
5739X,113,113
7882A,113,113
0030A,112,112
2000A,112,112
3781A,112,112
6160A,112,112
3018B,111,111
3044A,111,111
3153X,111,111
7030A,111,111
7169X,111,111
8132X,111,111
2770A,110,110
2953D,110,110
4720C,110,110
4809X,110,110
6178X,110,110
6213C,110,110
6350B,110,110
6608B,110,110
V654A,110,110
3453A,109,109
4276A,109,109
5740B,109,109
2102A,108,108
3640A,108,108
4130A,108,108
6425B,108,108
7859X,108,108
7910X,108,108
8831A,108,108
2137A,107,107
3780A,107,107
4029B,106,106
4059X,106,106
4229X,106,106
6545A,106,106
6918C,106,106
8240A,106,106
2953B,105,105
3829X,105,105
4331X,105,105
6481B,105,105
6641B,105,105
6600B,104,104
2391A,103,103
3755A,103,103
5716A,103,103
6221B,103,103
6533A,103,103
7266E,103,103
7396A,103,103
7410D,103,103
7881A,103,103
8122A,103,103
8134X,103,103
0529X,102,102
5110B,102,102
6349X,102,102
6482A,102,102
6524B,102,102
7860B,102,102
2252A,101,101
2260A,101,101
3557X,101,101
5188X,101,101
6280A,101,101
7000A,101,101
3641A,100,100
7176A,100,100
4149X,99,99
4260A,99,99
7234A,99,99
7180F,98,98
7901A,98,98
5780A,97,97
7220A,97,97
2165A,96,96
2959B,96,96
6563A,96,96
6603B,96,96
8310A,96,96
9982A,96,96
2002A,95,95
4241B,95,95
5240A,95,95
5589X,95,95
6534A,95,95
8450A,95,95
9222A,95,95
3469X,94,94
8233D,94,94
1733A,93,93
2030A,93,93
2448A,93,93
3780B,93,93
6221C,93,93
7179X,93,93
7950A,92,92
4120C,91,91
4476A,91,91
5275A,91,91
5691A,91,91
5828B,91,91
7358X,91,91
1330A,90,90
1745A,90,90
3010A,90,90
7199L,90,90
7545B,90,90
6568A,89,89
7263B,89,89
7330A,89,89
9060A,89,89
4309X,88,88
7071A,88,88
0769C,87,87
5680A,87,87
6609B,87,87
7241A,87,87
9953A,87,87
3093A,86,86
3159X,86,86
3793A,86,86
8233C,86,86
3003A,85,85
3429X,85,85
7165A,85,85
7842A,85,85
6102A,84,84
6532B,84,84
6690A,84,84
2121A,83,83
2952C,83,83
3813X,83,83
4251A,83,83
6350A,83,83
6411A,83,83
7263C,83,83
8132A,83,83
9061A,83,83
1890B,82,82
3499X,82,82
4100B,82,82
5233A,82,82
6288B,82,82
6409X,82,82
6525B,82,82
7188F,82,82
8450X,82,82
3160A,81,81
8082A,81,81
1890A,80,80
2009X,80,80
2790B,80,80
5586X,80,80
6564A,80,80
8026A,80,80
2962A,79,79
4272A,79,79
4878X,79,79
5750A,79,79
6461A,79,79
7211A,79,79
2964C,78,78
3454X,78,78
3824A,78,78
4810A,78,78
4910A,78,78
7444B,78,78
8202A,78,78
8250A,78,78
0750A,77,77
2251A,77,77
2451A,77,77
5650C,77,77
5714X,77,77
6142X,77,77
6221A,77,77
6339X,77,77
9059A,77,77
2500C,76,76
3784B,76,76
5772A,76,76
7893A,76,76
8252E,76,76
8500X,76,76
8822A,76,76
2952E,75,75
3008A,75,75
4720A,75,75
5225A,75,75
5354X,75,75
5742B,75,75
6269X,75,75
7561A,75,75
2510B,74,74
2512X,74,74
2768A,74,74
3012A,74,74
3138B,74,74
3801A,74,74
4373A,74,74
6566B,74,74
6570A,74,74
8832B,74,74
1048A,73,73
1380A,73,73
3002B,73,73
4059A,73,73
5307A,73,73
5756A,73,73
7250A,73,73
7834C,73,73
8232D,73,73
8501B,73,73
2773B,72,72
6752A,72,72
6930B,72,72
7543B,72,72
7872A,72,72
8052A,72,72
8084A,72,72
8821A,72,72
8860A,72,72
4719X,71,71
6110A,71,71
6163A,71,71
7118L,71,71
7490A,71,71
7869X,71,71
8830A,71,71
V614A,71,71
3140B,70,70
3510A,70,70
3556A,70,70
6078B,70,70
7178A,70,70
7273A,70,70
7291A,70,70
7492A,70,70
2520A,69,69
2920A,69,69
