code,freq_finngen,freq_total
8120/3-C66.9,19,19
9560/0-C72.5,19,19
9560/0-C72.9,19,19
8010/3-C80.9,19,19
9591/3-C99,19,19
8070/3-C13.9,18,18
8249/3-C17.2,18,18
8480/3-C18.2,18,18
8140/3-C24.0,18,18
8140/3-C24.1,18,18
8140/3-C25.2,18,18
8507/3-C50.9,18,18
8077/2-C52.9,18,18
8010/2-C53.9,18,18
9663/3-C77.0,18,18
9673/3-C77.9,18,18
8144/3-C16.0,17,17
8145/3-C16.0,17,17
9680/3-C16.9,17,17
8094/3-C44.9,17,17
8520/3-C50.3,17,17
8523/3-C50.4,17,17
8480/3-C56.9,17,17
8000/0-C70.0,17,17
9350/1-C75.2,17,17
8070/3-C15.4,16,16
8480/3-C18.7,16,16
8480/3-C18.9,16,16
8160/3-C24.9,16,16
8041/3-C34.0,16,16
8960/3-C64.9,16,16
9440/3-C71.3,16,16
8000/3-C71.9,16,16
8070/3-C15.5,15,15
9699/3-C16.9,15,15
8140/3-C26.9,15,15
8070/3-C31,15,15
9983/3-C42.1,15,15
8094/3-C44.3,15,15
9700/3-C44.5,15,15
9700/3-C44.9,15,15
8510/3-C73.9,15,15
8070/3-C90,15,15
8070/3-C11.9,14,14
8145/3-C16.2,14,14
8140/3-C18.1,14,14
8249/3-C25.9,14,14
8240/3-C34.3,14,14
8250/3-C34.9,14,14
9689/3-C42.2,14,14
8742/3-C44.3,14,14
8500/2-C50.2,14,14
8500/2-C50.5,14,14
8070/3-C52.9,14,14
8890/3-C54.2,14,14
9061/3-C62.1,14,14
8120/3-C67.2,14,14
9670/3-C77.0,14,14
9591/3-C77.3,14,14
9659/3-C77.9,14,14
9698/3-C77.9,14,14
8144/3-C16.2,13,13
8240/3-C16.2,13,13
8000/3-C20.9,13,13
8160/3-C24.0,13,13
8000/3-C24.9,13,13
8070/3-C34.0,13,13
9680/3-C42.1,13,13
9691/3-C42.1,13,13
9741/3-C42.1,13,13
8742/3-C44.5,13,13
8522/3-C50.1,13,13
8480/3-C50.4,13,13
8524/3-C50.4,13,13
8620/3-C56.9,13,13
8461/3-C57.9,13,13
8010/3-C61.9,13,13
8010/3-C75.0,13,13
9690/3-C77.0,13,13
9652/3-C77.9,13,13
9823/3-C77.9,13,13
8480/3-C80.9,13,13
9680/3-C99,13,13
8000/3-C16.9,12,12
9591/3-C16.9,12,12
8140/3-C17.0,12,12
8246/3-C17.9,12,12
8480/3-C18.4,12,12
8070/3-C20.9,12,12
8070/3-C21.1,12,12
8580/3-C37.9,12,12
9801/3-C42.1,12,12
9945/3-C42.1,12,12
8743/3-C44.7,12,12
8090/3-C44.8,12,12
8742/2-C44.9,12,12
8800/3-C49.2,12,12
8520/3-C50.8,12,12
8503/3-C50.9,12,12
9081/3-C62.9,12,12
9400/3-C71.1,12,12
9400/3-C71.9,12,12
9673/3-C77.8,12,12
9691/3-C77.8,12,12
8936/1-C17.9,11,11
8000/3-C24.0,11,11
8000/3-C25.1,11,11
8000/3-C26.9,11,11
8070/3-C30,11,11
8070/3-C30.0,11,11
8832/3-C44.5,11,11
8461/3-C48.2,11,11
8522/3-C50.2,11,11
8401/3-C50.9,11,11
