concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,temp_mapping_type
1588655,1308842,Maps to,20200601,20991231,NA,OMOP
21602579,1549254,Maps to,20200601,20991231,NA,OMOP
21602420,35200261,Maps to,20200601,20991231,NA,OMOP
21604103,704943,Maps to,20200601,20991231,NA,OMOP
1588685,42903978,Maps to,20200601,20991231,NA,OMOP
21600766,19033909,Maps to,20200601,20991231,NA,OMOP
21601714,1338005,Maps to,20200601,20991231,NA,OMOP
21602589,1549254,Maps to,20200601,20991231,NA,OMOP
21600900,19124906,Maps to,20200601,20991231,NA,OMOP
21600575,42899937,Maps to,20200601,20991231,NA,OMOP
21601818,1373225,Maps to,20200601,20991231,NA,OMOP
1588648,1308842,Maps to,20200601,20991231,NA,OMOP
21602420,19056614,Maps to,20200601,20991231,NA,OMOP
1123780,1370109,Maps to,20200601,20991231,NA,OMOP
21602595,1588000,Maps to,20200601,20991231,NA,OMOP
21602955,40799120,Maps to,20200601,20991231,NA,OMOP
715852,45775571,Maps to,20200601,20991231,NA,OMOP
21602451,1552310,Maps to,20200601,20991231,NA,OMOP
715910,43009011,Maps to,20200601,20991231,NA,OMOP
21602300,984232,Maps to,20200601,20991231,NA,OMOP
21601303,528271,Maps to,20200601,20991231,NA,OMOP
21600731,1586346,Maps to,20200601,20991231,NA,OMOP
40256422,1332418,Maps to,20200601,20991231,NA,OMOP
1588692,36879015,Maps to,20200601,20991231,NA,OMOP
715794,1559914,Maps to,20200601,20991231,NA,OMOP
1588688,40166035,Maps to,20200601,20991231,NA,OMOP
21603038,40799120,Maps to,20200601,20991231,NA,OMOP
21604524,40798823,Maps to,20200601,20991231,NA,OMOP
21601344,523212,Maps to,20200601,20991231,NA,OMOP
21601819,1353776,Maps to,20200601,20991231,NA,OMOP
21602420,45775207,Maps to,20200601,20991231,NA,OMOP
1502107,1714319,Maps to,20200601,20991231,NA,OMOP
21602382,40798671,Maps to,20200601,20991231,NA,OMOP
