"","CODE1","n_codes","n_patients"
"311","9246",61,59
"312","1543",60,54
"313","4344",60,58
"314","4147",59,54
"315","7365",59,39
"316","9724",59,58
"317","4202",58,53
"318","4204",58,55
"319","4509",58,28
"320","9499",58,56
"321","9510",58,56
"322","2212",57,47
"323","4343",57,54
"324","4841",57,55
"325","6112",57,49
"326","9127",57,56
"327","4144",56,53
"328","4479",56,56
"329","8206",56,55
"330","1322",55,48
"331","1601",55,49
"332","2406",55,55
"333","6141",55,52
"334","6318",55,55
"335","6611",55,54
"336","7436",55,54
"337","8435",55,54
"338","8834",55,55
"339","9539",55,50
"340","3504",54,53
"341","7143",54,53
"342","4347",53,53
"343","5822",53,51
"344","7326",53,32
"345","9115",53,44
"346","9751",52,44
"347","3604",51,41
"348","3747",51,41
"349","3768",51,20
"350","7553",51,34
"351","3401",50,45
"352","4391",50,50
"353","4459",50,49
"354","5339",50,41
"355","5565",50,44
"356","6403",50,49
"357","8343",50,48
"358","8412",50,50
"359","9721",50,48
"360","9808",50,48
"361","1544",49,40
"362","3201",49,48
"363","4102",49,49
"364","9889",49,48
"365","2421",48,30
"366","3317",48,47
"367","4364",48,44
"368","4381",48,48
"369","9508",48,46
"370","4256",47,38
"371","5802",47,42
"372","8431",47,47
"373","3402",46,42
"374","4209",46,41
"375","5703",46,46
"376","2429",45,8
"377","2522",45,42
"378","4129",45,44
"379","6405",45,45
"380","8352",45,45
"381","1440",44,44
"382","1549",44,42
"383","4105",44,33
"384","4804",44,44
"385","4826",44,44
"386","9219",44,42
"387","4151",43,40
"388","7124",43,43
"389","9139",43,43
"390","9239",43,42
"391","1323",42,26
"392","5563",42,41
"393","6354",42,42
"394","6401",42,41
"395","8319",42,42
"396","9493",42,34
"397","9705",42,41
"398","1471",41,40
"399","2542",41,36
"400","9341",41,25
"401","8213",40,40
"402","8235",40,38
"403","9521",40,40
"404","9762",40,39
"405","5311",39,39
"406","8429",39,39
"407","8836",39,38
"408","9229",39,39
"409","1510",38,25
"410","3329",38,37
"411","5639",38,26
"412","9319",38,37
"413","9873",38,36
"414","9879",38,38
"415","3631",37,34
"416","7437",37,37
"417","7541",37,37
"418","8310",37,37
"419","8489",37,36
"420","2419",36,32
"421","4139",36,31
"422","4461",36,35
"423","5602",36,32
"424","5826",36,35
"425","6449",36,35
"426","7101",36,19
"427","9202",36,36
"428","9723",36,36
"429","9759",36,34
"430","9783",36,32
"431","2404",35,35
"432","4143",35,34
"433","5205",35,35
"434","7379",35,28
"435","8839",35,35
"436","8842",35,34
"437","1242",34,33
"438","1451",34,33
"439","4719",34,32
"440","5284",34,32
"441","5823",34,34
"442","6119",34,31
"443","6823",34,32
"444","7512",34,34
"445","9106",34,28
"446","9133",34,34
"447","9402",34,22
"448","4219",33,33
"449","4361",33,27
"450","4819",33,30
"451","5609",33,27
"452","5701",33,31
"453","6322",33,32
"454","7172",33,33
"455","7215",33,33
"456","2133",32,26
"457","2151",32,31
"458","4319",32,32
"459","4703",32,32
"460","9122",32,31
"461","2132",31,29
"462","4134",31,28
"463","5582",31,31
"464","5585",31,26
"465","5861",31,22
"466","6435",31,30
"467","7513",31,31
"468","7544",31,31
"469","8342",31,31
"470","9320",31,23
"471","4362",30,29
"472","4392",30,26
"473","4404",30,28
"474","6313",30,30
"475","6512",30,28
"476","8471",30,30
"477","8602",30,30
