code,freq_finngen,freq_tays,freq_total
NEA10,221,5997,6218
WZC05,4379,1804,6183
YG1BD,2616,3544,6160
AA1CM,1977,4122,6099
NFB30,6071,13,6084
NA2AA,1988,3997,5985
LAF10,1866,4103,5969
WX702,2719,3246,5965
TLC00,4392,1560,5952
NC1AA,3090,2820,5910
NH3BA,2954,2944,5898
R5599,5847,42,5889
WD115,5640,249,5889
UJD02,5420,451,5871
ACC59,5670,142,5812
WB401,2912,2887,5799
NBL00,5660,126,5786
ZX121,1647,4139,5786
NF3AA,1889,3891,5780
WX290,3109,2667,5776
DMB20,5047,722,5769
ZX198,5717,38,5755
JN3AD,2740,3010,5750
LCD00,3499,2188,5687
RS222,29,5647,5676
JFA15,3070,2559,5629
WD515,974,4621,5595
NGA30,5379,211,5590
KE1AT,4257,1269,5526
CK2S4,5443,6,5449
PA6DE,3764,1684,5448
NA3CG,3767,1653,5420
HAB40,3681,1712,5393
WX307,4753,630,5383
PHD76,5205,157,5362
GD5BD,2059,3300,5359
QBB10,4953,403,5356
KED22,3999,1357,5356
TDW99,2902,2323,5225
XA800,5038,155,5193
NG1DA,1058,4126,5184
JAH01,3456,1696,5152
UJH02,5091,49,5140
TNX32,4407,709,5116
ZZR00,1623,3490,5113
ZXD30,5062,50,5112
NA1BG,3921,1174,5095
ABC36,4078,964,5042
NB1BA,2597,2414,5011
THW99,4998,8,5006
TKW99,2485,2519,5004
TPH15,2681,2308,4989
LC2DE,4936,24,4960
SBB10,3553,1400,4953
EBA10,3879,1030,4909
XQ802,4422,475,4897
YX9AD,1024,3871,4895
KA1AE,2306,2547,4853
SAA04,3960,834,4794
HAC20,3142,1632,4774
LCB25,3498,1231,4729
EN1BD,1293,3434,4727
WX722,4469,252,4721
JN4KR,321,4380,4701
NF1AE,3852,830,4682
R1220,2911,1749,4660
TNX50,4416,242,4658
GD1ED,3055,1570,4625
WX720,1459,3158,4617
ZXC15,831,3777,4608
FN1AT,4466,138,4604
TPX10,2032,2563,4595
NHJ10,4154,436,4590
LGA21,4503,56,4559
EBA00,3146,1411,4557
WB121,1858,2691,4549
ZX114,4402,137,4539
DM1AD,3164,1360,4524
NA1AD,2393,2073,4466
YL1BD,1338,3066,4404
KH1AD,2472,1931,4403
SJD00,3855,533,4388
HA1AT,1353,3035,4388
LX1XE,3414,971,4385
ZX050,945,3388,4333
WB133,1135,3184,4319
LCD04,3166,1152,4318
NB6AA,1534,2773,4307
FN1BT,1545,2696,4241
GD1AD,2213,1995,4208
FNA01,3571,613,4184
XFP96,3899,273,4172
NHU20,3804,314,4118
KF8AE,1583,2521,4104
NH1BA,2053,2048,4101
PA6BD,3294,786,4080
EB1AA,3399,635,4034
LDA10,3193,783,3976
XX2VW,16,3959,3975
JAH00,1848,2078,3926
LC2HE,3004,920,3924
FN2BA,2670,1218,3888
WQ000,2153,1715,3868
UJK02,1954,1913,3867
