concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
386,4309374,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
418,46271430,Maps to,2015-07-31,2030-12-31,NA,USAGI,Procedure
422,4080549,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
424,4166199,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
424,4200059,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
425,4236993,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
426,40486958,Maps to,2011-01-31,2030-12-31,NA,USAGI,Procedure
436,4228073,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
438,4100052,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
438,4254344,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
468,4243659,Maps to,2004-01-01,2030-12-31,NA,USAGI,Procedure
524,4166080,Maps to,2004-01-01,2030-12-31,NA,USAGI,Procedure
526,4158896,Maps to,2004-01-01,2030-12-31,NA,USAGI,Procedure
532,4304919,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
559,4101571,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
562,4013496,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
576,4030840,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
582,4262652,Maps to,2002-01-01,2030-12-31,NA,USAGI,Procedure
600,37395711,Maps to,2016-07-31,2030-12-31,NA,USAGI,Procedure
601,37395711,Maps to,2016-07-31,2030-12-31,NA,USAGI,Procedure
601,40489427,Maps to,2011-07-31,2030-12-31,NA,USAGI,Procedure
601,4324344,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
611,4148652,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
617,4083110,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
625,35622380,Maps to,2018-07-31,2030-12-31,NA,USAGI,Procedure
625,4224483,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
625,4221128,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
626,4049330,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
627,4085189,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
628,4066443,Maps to,1970-01-01,2017-12-31,NA,USAGI,Procedure
629,4065428,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
632,4238120,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
633,4118958,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
635,4073199,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
651,4232879,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
663,4185578,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
664,4337807,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
665,4237203,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
666,4270198,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
667,4165739,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
668,4047947,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
695,4047234,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
696,4164502,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
698,4320776,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
699,4304998,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
702,4114630,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
723,4273159,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
727,4141114,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
737,4043020,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
750,4149107,Maps to,2003-01-01,2030-12-31,NA,USAGI,Procedure
750,4161392,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
750,36713174,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
764,4248548,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
778,4266483,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
799,4065811,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
800,4055495,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
802,4080918,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
809,4322623,Maps to,1970-01-01,2014-12-31,NA,USAGI,Procedure
813,4065710,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
814,4068317,Maps to,1970-01-01,2009-12-31,NA,USAGI,Procedure
821,4065687,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
837,4195438,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
849,4213306,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
850,4240976,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
853,4290938,Maps to,1970-01-01,2009-12-31,NA,USAGI,Procedure
854,4302979,Maps to,2010-01-01,2030-12-31,NA,USAGI,Procedure
856,4097312,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
894,4099370,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
896,4296161,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
897,4056052,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
899,4192502,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
902,4308653,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
903,4334425,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
907,4206164,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
911,4269071,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
923,4210310,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
933,4203473,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
934,4203473,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
953,4333148,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
954,4333148,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
960,4287710,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
961,4239558,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
964,4175311,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
966,4220237,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
969,4287710,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
975,4212995,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
981,4070457,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
989,4248040,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
994,4219893,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
995,4300656,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
996,4105285,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
997,4214463,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
999,4049601,Maps to,2010-01-01,2030-12-31,NA,USAGI,Procedure
1000,4067021,Maps to,1970-01-01,2009-12-31,NA,USAGI,Procedure
1002,4294508,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1004,4294508,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1016,4259130,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1019,4271301,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1020,4067032,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1022,4067028,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
1031,4194102,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
1036,4246971,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1038,4099086,Maps to,2010-01-01,2030-12-31,NA,USAGI,Procedure
1041,4069840,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1043,4183315,Maps to,2010-01-01,2030-12-31,NA,USAGI,Procedure
1046,4264707,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1054,4284555,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1060,4327660,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1065,4050240,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1094,4099700,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1101,4139011,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1102,4144574,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1103,4179211,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1104,4220988,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1109,4299600,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1110,4314935,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
1111,4299600,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1112,4338739,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1113,4334584,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1116,4065926,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1117,4189589,Maps to,2009-01-01,2030-12-31,NA,USAGI,Procedure
1118,4148939,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1120,4028054,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1121,4106387,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1122,4028054,Maps to,2010-01-01,2030-12-31,NA,USAGI,Procedure
1124,46270866,Maps to,2015-07-31,2030-12-31,NA,USAGI,Procedure
1128,4314457,Maps to,2004-01-01,2030-12-31,NA,USAGI,Procedure
1133,4171018,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1139,4229444,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1143,4324537,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1145,4338539,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1161,4237072,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1167,4223934,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1176,4030247,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1182,4333162,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1186,4223363,Maps to,1970-01-01,2008-12-31,NA,USAGI,Procedure
1190,4293870,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1221,4063911,Maps to,1997-01-01,2016-12-31,NA,USAGI,Procedure
1222,4016391,Maps to,1970-01-01,2016-12-31,NA,USAGI,Procedure
1223,4063911,Maps to,1997-01-01,2016-12-31,NA,USAGI,Procedure
1234,4216636,Maps to,1970-01-01,2007-12-31,NA,USAGI,Procedure
1235,4334592,Maps to,2008-01-01,2030-12-31,NA,USAGI,Procedure
1236,4195812,Maps to,1970-01-01,2007-12-31,NA,USAGI,Procedure
1241,4068770,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1248,4337885,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1248,4334590,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1249,4012339,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1249,4287563,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1249,4337885,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1250,4217211,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1254,4334592,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1257,4068570,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1258,4314406,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1258,4068570,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1259,4334716,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1259,4140161,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1259,4068174,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1260,4334717,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1261,4334718,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1262,4335868,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1267,4314406,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
1267,4304915,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
1271,4334720,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1275,4068660,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1293,4107003,Maps to,2017-01-01,2030-12-31,NA,USAGI,Procedure
1294,4213040,Maps to,2017-01-01,2030-12-31,NA,USAGI,Procedure
1311,4102213,Maps to,2017-01-01,2030-12-31,NA,USAGI,Procedure
1326,4263508,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1336,4043334,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1344,4188048,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1345,4234393,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
1346,4013504,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
1360,4295887,Maps to,2000-01-01,2030-12-31,NA,USAGI,Procedure
1361,4200565,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1364,4139012,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1370,4301559,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
1371,4321430,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1375,4327254,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
1384,4295265,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1385,4334402,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1389,4160183,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1390,4180279,Maps to,2008-01-31,2030-12-31,NA,USAGI,Procedure
1391,4268341,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1393,4296296,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
1396,4245362,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1397,4302414,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1403,4168528,Maps to,1997-01-01,2030-12-31,NA,USAGI,Procedure
1406,4336150,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1408,4289432,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
1410,4094520,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
