"","CODE1","n_codes","n_patients"
"270","K02",1923,1432
"271","P22",1921,301
"272","K24",1918,1445
"273","D21",1888,601
"274","L74",1878,1126
"275","A70",1877,45
"276","T31",1874,557
"277","S11",1872,902
"278","X21",1872,1059
"279","X14",1805,1190
"280","S50",1801,441
"281","L72",1800,802
"282","F13",1799,1503
"283","L70",1792,201
"284","R06",1742,1163
"285","B80",1685,880
"286","T91",1666,370
"287","-57",1631,332
"288","D16",1629,1138
"289","N80",1622,853
"290","Z05",1621,755
"291","P85",1605,79
"292","Z03",1600,440
"293","-58",1597,454
"294","R28",1597,649
"295","-35",1587,993
"296","F99",1574,281
"297","A30",1562,1311
"298","K60",1557,535
"299","P17",1551,847
"300","R03",1539,558
"301","-55",1520,521
"302","B29",1516,198
"303","D76",1507,79
"304","A45",1505,1200
"305","S88",1493,1169
"306","K01",1492,747
"307","Z08",1491,705
"308","S74",1482,1089
"309","A63",1464,181
"310","-43",1459,1170
"311","F73",1450,1125
"312","P86",1447,195
"313","S77",1436,540
"314","-42",1398,1017
"315","R01",1390,892
"316","S79",1386,1113
"317","D25",1385,1025
"318","T03",1385,136
"319","Z11",1385,368
"320","L77",1378,1074
"321","L87",1354,769
"322","A34",1349,873
"323","X19",1332,886
"324","K89",1326,387
"325","S94",1304,790
"326","P27",1302,702
"327","Y85",1288,707
"328","A55",1264,352
"329","U99",1264,338
"330","L82",1263,44
"331","D28",1254,127
"332","H03",1232,954
"333","K43",1223,778
"334","H51",1218,874
"335","-38",1213,612
"336","T08",1213,681
"337","D89",1200,823
"338","A13",1179,827
"339","W79",1176,720
"340","F72",1174,933
"341","A80",1163,725
"342","W92",1151,713
"343","-51",1136,702
"344","D17",1135,307
"345","A81",1130,54
"346","D04",1117,767
"347","Z06",1110,351
"348","H82",1077,827
"349","K95",1074,779
"350","R44",1068,1001
"351","T27",1059,728
"352","S59",1051,747
"353","F92",1043,250
"354","D94",1042,347
"355","K79",1039,250
"356","S24",1039,502
"357","Y28",1030,136
"358","P04",1014,339
"359","-49",1010,529
"360","Z27",1006,261
"361","A06",967,671
"362","H71",961,755
"363","A54",951,815
"364","H27",947,704
"365","S96",945,605
"366","F43",936,743
"367","P24",936,193
"368","X11",928,566
"369","X16",925,714
"370","L50",922,266
"371","X18",922,651
"372","L48",921,601
"373","S85",907,91
"374","D91",904,549
"375","K34",892,214
"376","F21",891,331
"377","T69",890,440
"378","R84",880,123
"379","X05",878,576
"380","Z63",877,28
"381","X06",875,607
"382","L83",868,403
"383","X92",857,587
"384","N74",850,42
"385","D97",847,220
"386","R27",833,570
"387","L78",826,657
"388","A78",819,215
"389","X07",816,597
"390","T48",810,322
"391","X29",809,625
"392","X72",805,621
"393","X77",801,122
"394","L07",799,562
"395","D92",791,361
"396","R43",789,519
"397","R80",787,658
"398","N05",786,602
"399","U75",770,82
"400","R76",766,669
"401","D93",762,464
"402","Y29",762,275
"403","X86",760,575
"404","N27",759,462
"405","L93",752,430
"406","T73",751,58
"407","A09",746,481
"408","N81",736,128
"409","X37",736,711
"410","X08",735,567
"411","Y05",730,405
"412","N93",717,498
"413","Z07",709,391
"414","S75",694,297
"415","H28",691,494
"416","B04",678,167
"417","K88",674,403
"418","B28",667,208
"419","A82",663,59
"420","S26",654,468
"421","Z30",654,36
"422","S93",648,438
"423","X17",636,461
"424","W45",630,199
"425","S71",616,375
"426","Z25",615,375
"427","A61",609,494
"428","K50",606,174
"429","A38",599,530
"430","F27",599,492
"431","N06",599,473
"432","R72",597,503
"433","P55",596,63
"434","X01",590,461
"435","D98",587,342
"436","W05",586,320
"437","U60",581,385
"438","R48",575,421
"439","A02",573,458
"440","B74",571,70
"441","S78",570,426
"442","Z21",568,260
"443","A85",565,511
"444","P49",558,94
"445","W27",556,379
"446","A57",553,36
"447","Z09",552,286
"448","W01",551,415
"449","Z22",534,213
"450","B72",531,58
"451","W83",529,339
"452","-37",527,490
"453","K27",526,458
"454","T62",523,286
"455","A59",522,430
"456","Z15",521,168
"457","B99",518,184
"458","N03",516,361
"459","Y02",516,313
"460","K31",513,370
"461","D62",511,389
"462","S72",511,404
"463","-65",509,342
"464","B02",509,402
"465","T85",505,268
"466","X84",502,389
"467","X99",502,209
"468","A49",499,338
"469","L57",499,101
"470","L98",492,68
"471","P63",485,169
"472","D70",476,270
"473","D74",475,59
"474","T30",473,291
"475","U27",463,373
"476","K48",462,346
"477","S92",459,22
"478","S55",458,131
"479","Y08",458,158
"480","K45",457,343
"481","P23",457,202
"482","S98",457,334
"483","A76",451,391
"484","X26",438,296
"485","D84",435,116
"486","S07",433,329
"487","S48",432,344
"488","A35",430,358
"489","W30",425,256
"490","B73",423,59
"491","F76",420,376
"492","W82",419,307
"493","Z18",417,156
"494","Z20",415,201
"495","T66",414,261
"496","Z01",412,215
"497","L85",407,208
"498","R39",403,311
"499","H76",397,364
"500","D08",396,329
"501","W15",396,277
"502","-67",390,310
"503","Y04",388,253
"504","Z16",387,186
"505","P77",381,129
"506","-61",376,272
"507","Z23",376,201
"508","P48",374,271
"509","X87",369,206
"510","D27",367,280
"511","Z14",366,171
"512","N07",359,135
"513","U77",352,73
"514","Z10",352,158
"515","R24",351,245
"516","A10",350,304
"517","Y16",344,124
"518","N73",337,48
"519","L71",335,41
"520","D05",333,239
"521","W03",333,267
"522","Y07",329,182
"523","X10",327,267
"524","B50",324,162
"525","W60",323,238
"526","A89",322,80
"527","Y99",321,93
"528","B44",319,262
"529","-39",315,244
"530","S23",311,200
"531","Z13",310,170
"532","A43",309,259
"533","N95",308,232
"534","S27",308,258
"535","S84",307,244
"536","D83",306,215
"537","T81",303,188
"538","W02",302,229
"539","K75",300,139
"540","R85",300,43
"541","N79",299,254
"542","N94",298,88
"543","W94",298,191
"544","N04",296,186
"545","U48",296,223
"546","U76",295,56
"547","P69",292,96
"548","D07",289,239
"549","X12",286,221
"550","R82",283,33
"551","W48",281,198
"552","N76",278,51
"553","W70",278,16
"554","Z19",278,98
"555","X04",275,156
"556","W18",274,155
"557","K39",272,216
"558","A26",271,232
"559","R60",270,232
"560","D40",263,237
"561","A12",262,210
"562","A56",262,137
"563","N43",260,230
"564","Z48",260,19
"565","L80",259,113
"566","P81",256,51
"567","D48",255,220
"568","D87",255,172
"569","D81",254,62
"570","-63",253,205
"571","-33",252,214
"572","N75",249,41
"573","R77",244,203
"574","S86",238,191
"575","A21",236,91
"576","-46",235,159
"577","R50",232,142
"578","T71",227,79
"579","D24",226,177
"580","P31",226,101
"581","X90",225,165
"582","F04",224,204
"583","S05",223,195
"584","P82",217,66
"585","Z24",217,115
"586","H05",214,170
"587","Y50",214,54
"588","U79",213,32
"589","W37",212,208
"590","L60",211,169
"591","L79",210,177
"592","P46",209,45
"593","A64",208,141
"594","P62",207,76
"595","N70",206,73
"596","P12",206,41
"597","A67",205,180
"598","D15",200,158
"599","T72",195,125
"600","A68",194,164
"601","S73",192,173
"602","L34",191,61
"603","X91",190,130
"604","D88",184,134
"605","L27",184,146
"606","N08",181,128
"607","L31",179,161
"608","B34",177,118
"609","K06",177,148
"610","L54",175,131
"611","D31",174,169
"612","Y73",174,123
"613","D55",173,10
"614","P75",173,57
"615","T43",171,87
"616","T50",168,88
"617","T87",167,124
"618","W13",167,137
"619","-52",166,157
"620","T11",163,36
"621","W19",159,124
"622","K03",158,141
"623","T34",158,103
"624","X27",158,137
"625","X20",157,122
"626","Z04",157,93
"627","A07",156,130
"628","X81",155,59
"629","F79",153,142
"630","H48",153,129
"631","W99",152,119
"632","X48",152,118
"633","F71",149,140
"634","D50",148,65
"635","A96",144,127
"636","S80",144,119
"637","U53",142,47
"638","X60",142,118
"639","N71",140,17
"640","R45",139,110
"641","X43",139,139
"642","D45",138,121
"643","K81",138,96
"644","L56",137,84
"645","F75",136,117
"646","A58",135,75
"647","D90",135,94
"648","H31",135,119
"649","B27",134,105
"650","D86",133,100
"651","-66",132,127
"652","R79",132,103
"653","A72",131,100
"654","B43",129,112
"655","-68",128,117
"656","U95",128,80
"657","X31",128,116
"658","P11",127,52
"659","X74",126,77
"660","-40",124,115
"661","-53",123,65
"662","T01",122,99
"663","F31",121,110
"664","L45",120,66
"665","N92",120,67
"666","L97",119,76
"667","Y78",119,33
"668","K30",117,101
"669","W28",117,75
"670","D44",114,82
"671","A39",112,105
"672","L55",111,46
"673","R31",110,93
"674","X13",110,91
"675","D78",109,73
"676","D96",107,79
"677","F41",107,99
"678","D14",104,88
"679","F48",104,90
"680","K42",104,89
"681","Y75",104,77
"682","N02",102,90
"683","T06",102,16
"684","K62",101,85
"685","F49",100,94
"686","R22",100,90
"687","L96",99,84
"688","A46",98,88
"689","N44",98,90
"690","S34",98,66
"691","N91",97,49
"692","H43",96,93
"693","P71",96,51
"694","S63",96,38
"695","T10",96,40
"696","W61",96,84
"697","P07",95,59
"698","D60",94,84
"699","F74",93,23
"700","P44",93,36
"701","W59",92,91
"702","B75",91,19
"703","L69",91,23
"704","N90",91,61
"705","S31",90,81
"706","Y13",90,73
