CodeId;Abbreviation;ShortName;LongName;ParentId;HierarchyLevel;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;CreatedDate;A:Alakomponentti (icpc);ALONG:Anm.;ALONG:Ensisijainen ICD-10;ALONG:Exkluderar;A:Harkitse (icpc);ALONG:Huom.;ALONG:ICD-10;ALONG:Inkluderar;A:Komponent (icpc);A:Komponentti (icpc);ALONG:Kriteerit (icpc);ALONG:Kriterier (icpc);A:Lehtisolmu;A:Långt_namn;ALONG:Mukaan lukien;ALONG:Pois lukien;A:Subkomponent (icpc);A:Sukupuoli;A:Överväg (icpc);ALONG:Consider_EN;ALONG:Criteria_EN;ALONG:Exclusion_EN;ALONG:Inclusion_EN;A:Long_name;A:Päivystysapu116117
A10;Verenvuoto, määrittämätön;Verenvuoto, määrittämätön;Verenvuoto, määrittämätön;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1394;04.02.2008;;;R58;;;;R58;blödning / hemorragi, också i flera platser eller anatomiska strukturer;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Blödning, Hemorragi UNS;verenvuoto/hemorragia, myös laajempi kuin yhdessä paikassa tai yhden elimen;;;;;;;;bleeding/haemorrhage not just from one site/organ;Bleeding/haemorrhage NOS;
A11;Rintakipu, määrittämätön;Rintakipu, määrittämätön;Rintakipu, määrittämätön;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1395;04.02.2008;;;R07.4;smärta relaterad till hjärtat K01./till bröstväggen L04./till andningsorganen R01;;;R07.4;;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Bröstsmärta UNS;;sydänperäinen kipu K01./ rintakehän seinämän kipu L04./ hengityselimistöön liittyvä kipu R01;;;;;;pain attributed to heart K01, pain attributed to chest wall L04, pain attributed to respiratory system R01;;Chest pain NOS;T
A13;Huoli lääkkeen/hoidon sivuvaikutuksesta;Huoli lääkkeen/hoidon sivuvaikutuksesta;Huoli lääkkeen/hoidon sivuvaikutuksesta;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1396;04.02.2008;;;Z71.1;biverkning av läkemedel A85./komplikation av medicinsk eller kirurgisk behandling A87;;;Z71.1;bekymmer för läkemedelsverkan eller annan behandling;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Bekymmer för läkemedelsreaktion / medicinsk behandling;huoli/pelko lääkkeen/hoidon seurauksista;lääkkeen sivuvaikutus A85./ lääkehoidon / kirurgisen hoidon komplikaatio A87;;;;;;adverse effect of drug A85, complication of medical/surgical treatment A87;concern about/fear of the consequences of drug/medical treatment;Concern about/fear of medical treatment;
A16;Ärtyisä vauva;Ärtyisä vauva;Ärtyisä vauva;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1397;04.02.2008;;;R68.1;spädbarnskolik D01./oroligt barn eller orolig vuxen P04;;;R68.1;gråtande i övermått./oroligt spädbarn;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Retlighet hos spädbarn;ylenmäärin itkevä/levoton vastasyntynyt;vastasyntyneen koliikki D01./ levoton lapsi/aikuinen P04;;;;;;infantile colic D01, restless child/adult P04;excessively crying/restless infant;Irritable infant;
A18;Huoli ulkonäöstä;Huoli ulkonäöstä;Huoli ulkonäöstä;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1398;04.02.2008;;;R46.8;bekymmer för öronens utseende H15./prominent näsa R08./relaterad till graviditet W21./brösten X22;;;R46.8;bekymmer för kroppsutseende;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Problem med utseende;;huoli korvien ulkonäöstä H15./ ulkoneva nenä R08./ huoli ulkonäöstä raskauden aikana W21./ huoli rintojen ulkonäöstä X22;;;;;;concern about appearance of ears H15, prominent nose R08, concern about appearance in pregnancy W21, concern about appearance of breasts X22;;Concern about appearance;
A20;Eutanasiaan liittyvä keskustelu/pyyntö;Eutanasiaan liittyvä keskustelu/pyyntö;Eutanasiaan liittyvä keskustelu/pyyntö;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1399;04.02.2008;;;Z71.8;;;;Z71.8;;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Begäran / diskussion om eutanasi;;;;;;;;;;Euthanasia request/discussion;
A21;Syöpäsairauden riskitekijä;Syöpäsairauden riskitekijä;Syöpäsairauden riskitekijä;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1400;04.02.2008;;;Z85.9;;;;Z80.0,Z80.1,Z80.2,Z80.3,Z80.4,Z80.5,Z80.6,Z80.7,Z80.8,Z80.9,Z85.0,Z85.1,Z85.2,Z85.3,Z85.4,Z85.5,Z85.6,Z85.7,Z85.8,Z85.9,Z92.6;personlig eller familjebakgrund./tidigare behandling eller annan riskfaktor för malignitet;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Risk för malignitet;hoidettu syöpä./itsellä tai suvussa esiintynyt syöpä./muu syövän riskitekijä;;;;;;;;other risk factor for malignancy, past treatment of malignancy, personal/family history of malignancy;Risk factor for malignancy;
A23;Sairauden riskitekijä, määrittämätön;Sairauden riskitekijä, määrittämätön;Sairauden riskitekijä, määrittämätön;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1401;04.02.2008;;;Z91.8;risk faktor för malignitet A21./för blodcirkulationssjukdom K22;;;Z20.0,Z20.1,Z20.2,Z20.3,Z20.4,Z20.5,Z20.6,Z20.7,Z20.8,Z20.9,Z28.0,Z28.1,Z28.2,Z28.8,Z28.9,Z72.0,Z72.1,Z72.2,Z72.3,Z72.4,Z72.5,Z73.2,Z81.0,Z81.1,Z81.2,Z81.3,Z81.4,Z81.8,Z82.0,Z82.1,Z82.2,Z82.5,Z82.6,Z82.7,Z82.8,Z83.0,Z83.1,Z83.2,Z83.3,Z83.4,Z83.5,Z83.6,Z83.7,Z84.0,Z84.1,Z84.2,Z84.3,Z84.8,Z86.0,Z86.1,Z86.2,Z86.3,Z86.4,Z86.5,Z86.6,Z87.0,Z87.1,Z87.2,Z87.3,Z87.4,Z87.5,Z87.6,Z87.7,Z87.8,Z88.0,Z88.1,Z88.2,Z88.3,Z88.4,Z88.5,Z88.6,Z88.7,Z88.8,Z88.9,Z91.0,Z91.1,Z91.2,Z91.3,Z91.4,Z91.5,Z91.6,Z91.7,Z91.8,Z92.0,Z92.1,Z92.2,Z92.3,Z92.4,Z92.5,Z92.8,Z92.9;kontakt med infektionssjukdom./personlig eller familjebakgrund./tidigare episod eller annan risk för andra sjukdomar;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Riskfaktor UNS;suvussa sama tauti tai tauti itsellä aiemmin./muu sairauden riskitekijä./tartuntatautikontakti;pahanlaatuisuuden riskitekijä A21./ sydänverisuonisairauden riskitekijä K22;;;;;;risk factor for malignancy A21, risk factor for cardiovascular disease K22;contact with infectious disease, other risk factor for other disease, personal/family history for other disease, previous episode for other disease;Risk factor NOS;
A25;Kuolemanpelko;Kuolemanpelko;Kuolemanpelko;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1402;04.02.2008;;;Z71.1;;;;Z71.1;;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Rädsla för döden;;;;;;;;;;Fear of death/dying;
A26;Huoli/pelko syövästä, määrittämätön;Huoli/pelko syövästä, määrittämätön;Huoli/pelko syövästä, määrittämätön;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1403;04.02.2008;;;Z71.1;om patienten har cancer./koda sjukdomen;;;Z71.1;;1 Symptom/besvär;1 Oireet ja vaivat;potilaan huoli/pelko syövästä, ilman/ennen varmistettua diagnoosia, kun ongelma ei liity mihinkään yksittäiseen/tiettyyn elinjärjestelmään;oro eller rädsla för cancer hos en patient utan sjukdom eller till dess att diagnosen är verifierad;T;Rädsla för cancer UNS;;jos potilaalla on syöpä, koodaa kyseinen sairaus;;;;;concern about/fear of cancer not related to a specific chapter in a patient without the disease/until the diagnosis is proven;if the patient has cancer, code the disease;;Fear of cancer, NOS;
