concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type
44501265,44501265,Maps to,20150918,20991231,NA,OMOP
44502262,44502262,Maps to,20150918,20991231,NA,OMOP
44502779,44502779,Maps to,20150918,20991231,NA,OMOP
44501249,44501249,Maps to,20150918,20991231,NA,OMOP
44501328,44501328,Maps to,20150918,20991231,NA,OMOP
44501806,44501806,Maps to,20150918,20991231,NA,OMOP
44500494,44500494,Maps to,20150918,20991231,NA,OMOP
44500591,44500591,Maps to,20150918,20991231,NA,OMOP
44500504,44500504,Maps to,20150918,20991231,NA,OMOP
44502226,44502226,Maps to,20150918,20991231,NA,OMOP
44499646,44499646,Maps to,20150918,20991231,NA,OMOP
44503231,40490453,Maps to,20150918,20991231,NA,OMOP
44503971,4033835,Maps to,20150918,20991231,NA,OMOP
44503410,4309576,Maps to,20150918,20991231,NA,OMOP
44505092,4266187,Maps to,20150918,20991231,NA,OMOP
44502611,44502611,Maps to,20150918,20991231,NA,OMOP
44501468,44501468,Maps to,20150918,20991231,NA,OMOP
44501082,44501082,Maps to,20150918,20991231,NA,OMOP
44502080,44502080,Maps to,20150918,20991231,NA,OMOP
44501572,44501572,Maps to,20150918,20991231,NA,OMOP
44501984,44501984,Maps to,20150918,20991231,NA,OMOP
44500603,44500603,Maps to,20150918,20991231,NA,OMOP
44501742,44501742,Maps to,20150918,20991231,NA,OMOP
44500215,44500215,Maps to,20150918,20991231,NA,OMOP
44501068,44501068,Maps to,20150918,20991231,NA,OMOP
44503115,44503115,Maps to,20150918,20991231,NA,OMOP
44501198,44501198,Maps to,20150918,20991231,NA,OMOP
44501271,44501271,Maps to,20150918,20991231,NA,OMOP
44502023,44502023,Maps to,20150918,20991231,NA,OMOP
44502019,44502019,Maps to,20150918,20991231,NA,OMOP
44503539,44503539,Maps to,20150918,20991231,NA,OMOP
44500941,44500941,Maps to,20150918,20991231,NA,OMOP
44499693,44499693,Maps to,20150918,20991231,NA,OMOP
44501581,44501581,Maps to,20150918,20991231,NA,OMOP
44502147,44502147,Maps to,20150918,20991231,NA,OMOP
44501169,44501169,Maps to,20150918,20991231,NA,OMOP
44501460,44501460,Maps to,20150918,20991231,NA,OMOP
44503007,44503007,Maps to,20150918,20991231,NA,OMOP
44503045,44503045,Maps to,20150918,20991231,NA,OMOP
44500916,44500916,Maps to,20150918,20991231,NA,OMOP
44500883,44500883,Maps to,20150918,20991231,NA,OMOP
44500707,44500707,Maps to,20150918,20991231,NA,OMOP
44501381,44501381,Maps to,20150918,20991231,NA,OMOP
44502747,44502747,Maps to,20150918,20991231,NA,OMOP
44501199,44501199,Maps to,20150918,20991231,NA,OMOP
44500642,44500642,Maps to,20150918,20991231,NA,OMOP
44500650,44500650,Maps to,20150918,20991231,NA,OMOP
44500085,44500085,Maps to,20150918,20991231,NA,OMOP
44502224,44502224,Maps to,20150918,20991231,NA,OMOP
44502729,44502729,Maps to,20150918,20991231,NA,OMOP
44499423,44499423,Maps to,20150918,20991231,NA,OMOP
44502993,44502993,Maps to,20150918,20991231,NA,OMOP
44502418,44502418,Maps to,20150918,20991231,NA,OMOP
44500864,44500864,Maps to,20150918,20991231,NA,OMOP
44500606,44500606,Maps to,20150918,20991231,NA,OMOP
44502670,44502670,Maps to,20150918,20991231,NA,OMOP
44499516,44499516,Maps to,20150918,20991231,NA,OMOP
44502330,44502330,Maps to,20150918,20991231,NA,OMOP
44500051,44500051,Maps to,20150918,20991231,NA,OMOP
44502166,44502166,Maps to,20150918,20991231,NA,OMOP
44500129,44500129,Maps to,20150918,20991231,NA,OMOP
44502975,44502975,Maps to,20150918,20991231,NA,OMOP
44501432,44501432,Maps to,20150918,20991231,NA,OMOP
44502195,44502195,Maps to,20150918,20991231,NA,OMOP
44501388,44501388,Maps to,20150918,20991231,NA,OMOP
44498970,44498970,Maps to,20150918,20991231,NA,OMOP
44504298,4311881,Maps to,20150918,20991231,NA,OMOP
44504537,4313086,Maps to,20150918,20991231,NA,OMOP
44503870,4312301,Maps to,20150918,20991231,NA,OMOP
44501500,44501500,Maps to,20150918,20991231,NA,OMOP
44498967,44498967,Maps to,20150918,20991231,NA,OMOP
44501553,44501553,Maps to,20150918,20991231,NA,OMOP
44502547,44502547,Maps to,20150918,20991231,NA,OMOP
44499528,44499528,Maps to,20150918,20991231,NA,OMOP
44501280,44501280,Maps to,20150918,20991231,NA,OMOP
44500378,44500378,Maps to,20150918,20991231,NA,OMOP
44502280,44502280,Maps to,20150918,20991231,NA,OMOP
44499912,44499912,Maps to,20150918,20991231,NA,OMOP
44502196,44502196,Maps to,20150918,20991231,NA,OMOP
44501838,44501838,Maps to,20150918,20991231,NA,OMOP
44499656,44499656,Maps to,20150918,20991231,NA,OMOP
44499987,44499987,Maps to,20150918,20991231,NA,OMOP
44502751,44502751,Maps to,20150918,20991231,NA,OMOP
44500426,44500426,Maps to,20150918,20991231,NA,OMOP
44501844,44501844,Maps to,20150918,20991231,NA,OMOP
44499627,44499627,Maps to,20150918,20991231,NA,OMOP
44500086,44500086,Maps to,20150918,20991231,NA,OMOP
44502501,44502501,Maps to,20150918,20991231,NA,OMOP
44500547,44500547,Maps to,20150918,20991231,NA,OMOP
44502505,44502505,Maps to,20150918,20991231,NA,OMOP
44501887,44501887,Maps to,20150918,20991231,NA,OMOP
44501770,44501770,Maps to,20150918,20991231,NA,OMOP
44502530,44502530,Maps to,20150918,20991231,NA,OMOP
44502453,44502453,Maps to,20150918,20991231,NA,OMOP
44501765,44501765,Maps to,20150918,20991231,NA,OMOP
44500624,44500624,Maps to,20150918,20991231,NA,OMOP
44500991,44500991,Maps to,20150918,20991231,NA,OMOP
44500269,44500269,Maps to,20150918,20991231,NA,OMOP
44500586,44500586,Maps to,20150918,20991231,NA,OMOP
44500323,44500323,Maps to,20150918,20991231,NA,OMOP
44503190,44503190,Maps to,20150918,20991231,NA,OMOP
44501146,44501146,Maps to,20150918,20991231,NA,OMOP
44499472,44499472,Maps to,20150918,20991231,NA,OMOP
44502305,44502305,Maps to,20150918,20991231,NA,OMOP
44502177,44502177,Maps to,20150918,20991231,NA,OMOP
44501157,44501157,Maps to,20150918,20991231,NA,OMOP
44501313,44501313,Maps to,20150918,20991231,NA,OMOP
44501007,44501007,Maps to,20150918,20991231,NA,OMOP
44501251,44501251,Maps to,20150918,20991231,NA,OMOP
44501824,44501824,Maps to,20150918,20991231,NA,OMOP
44500658,44500658,Maps to,20150918,20991231,NA,OMOP
44502062,44502062,Maps to,20150918,20991231,NA,OMOP
44499010,44499010,Maps to,20150918,20991231,NA,OMOP
44501688,44501688,Maps to,20150918,20991231,NA,OMOP
44501342,44501342,Maps to,20150918,20991231,NA,OMOP
44500516,44500516,Maps to,20150918,20991231,NA,OMOP
44500287,44500287,Maps to,20150918,20991231,NA,OMOP
44502005,44502005,Maps to,20150918,20991231,NA,OMOP
44502414,44502414,Maps to,20150918,20991231,NA,OMOP
44501301,44501301,Maps to,20150918,20991231,NA,OMOP
44499750,44499750,Maps to,20150918,20991231,NA,OMOP
44502869,44502869,Maps to,20150918,20991231,NA,OMOP
44501533,44501533,Maps to,20150918,20991231,NA,OMOP
44503055,44503055,Maps to,20150918,20991231,NA,OMOP
44501336,44501336,Maps to,20150918,20991231,NA,OMOP
44499754,44499754,Maps to,20150918,20991231,NA,OMOP
44500362,44500362,Maps to,20150918,20991231,NA,OMOP
44501030,44501030,Maps to,20150918,20991231,NA,OMOP
44500753,44500753,Maps to,20150918,20991231,NA,OMOP
44505074,4112759,Maps to,20150918,20991231,NA,OMOP
44503607,4112985,Maps to,20150918,20991231,NA,OMOP
44505135,4297332,Maps to,20150918,20991231,NA,OMOP
44504825,4315531,Maps to,20150918,20991231,NA,OMOP
44504535,4315412,Maps to,20150918,20991231,NA,OMOP
44500942,44500942,Maps to,20150918,20991231,NA,OMOP
44502113,44502113,Maps to,20150918,20991231,NA,OMOP
44499600,44499600,Maps to,20150918,20991231,NA,OMOP
44502994,44502994,Maps to,20150918,20991231,NA,OMOP
44500868,44500868,Maps to,20150918,20991231,NA,OMOP
44501130,44501130,Maps to,20150918,20991231,NA,OMOP
44502197,44502197,Maps to,20150918,20991231,NA,OMOP
44502858,44502858,Maps to,20150918,20991231,NA,OMOP
44501616,44501616,Maps to,20150918,20991231,NA,OMOP
44500232,44500232,Maps to,20150918,20991231,NA,OMOP
44501255,44501255,Maps to,20150918,20991231,NA,OMOP
44502078,44502078,Maps to,20150918,20991231,NA,OMOP
44501144,44501144,Maps to,20150918,20991231,NA,OMOP
44500974,44500974,Maps to,20150918,20991231,NA,OMOP
44501901,44501901,Maps to,20150918,20991231,NA,OMOP
44500375,44500375,Maps to,20150918,20991231,NA,OMOP
44501732,44501732,Maps to,20150918,20991231,NA,OMOP
44500106,44500106,Maps to,20150918,20991231,NA,OMOP
44502606,44502606,Maps to,20150918,20991231,NA,OMOP
44499785,44499785,Maps to,20150918,20991231,NA,OMOP
44500968,44500968,Maps to,20150918,20991231,NA,OMOP
44502419,44502419,Maps to,20150918,20991231,NA,OMOP
44502656,44502656,Maps to,20150918,20991231,NA,OMOP
44500155,44500155,Maps to,20150918,20991231,NA,OMOP
44500702,44500702,Maps to,20150918,20991231,NA,OMOP
44500009,44500009,Maps to,20150918,20991231,NA,OMOP
44500017,44500017,Maps to,20150918,20991231,NA,OMOP
44500050,44500050,Maps to,20150918,20991231,NA,OMOP
44501959,44501959,Maps to,20150918,20991231,NA,OMOP
44500127,44500127,Maps to,20150918,20991231,NA,OMOP
44499007,44499007,Maps to,20150918,20991231,NA,OMOP
44502901,44502901,Maps to,20150918,20991231,NA,OMOP
44501709,44501709,Maps to,20150918,20991231,NA,OMOP
44502432,44502432,Maps to,20150918,20991231,NA,OMOP
44501764,44501764,Maps to,20150918,20991231,NA,OMOP
44501664,44501664,Maps to,20150918,20991231,NA,OMOP
44499574,44499574,Maps to,20150918,20991231,NA,OMOP
44501163,44501163,Maps to,20150918,20991231,NA,OMOP
44499623,44499623,Maps to,20150918,20991231,NA,OMOP
44500843,44500843,Maps to,20150918,20991231,NA,OMOP
44502109,44502109,Maps to,20150918,20991231,NA,OMOP
44502983,44502983,Maps to,20150918,20991231,NA,OMOP
44502397,44502397,Maps to,20150918,20991231,NA,OMOP
44501192,44501192,Maps to,20150918,20991231,NA,OMOP
44500908,44500908,Maps to,20150918,20991231,NA,OMOP
44500587,44500587,Maps to,20150918,20991231,NA,OMOP
44501948,44501948,Maps to,20150918,20991231,NA,OMOP
44500122,44500122,Maps to,20150918,20991231,NA,OMOP
44505363,4092083,Maps to,20150918,20991231,NA,OMOP
44504048,4313356,Maps to,20150918,20991231,NA,OMOP
44504435,4313516,Maps to,20150918,20991231,NA,OMOP
44503911,4315950,Maps to,20150918,20991231,NA,OMOP
44503217,4316049,Maps to,20150918,20991231,NA,OMOP
44504176,4314211,Maps to,20150918,20991231,NA,OMOP
44504558,45768946,Maps to,20150918,20991231,NA,OMOP
44505823,45770892,Maps to,20150918,20991231,NA,OMOP
44500458,44500458,Maps to,20150918,20991231,NA,OMOP
44502940,44502940,Maps to,20150918,20991231,NA,OMOP
44499660,44499660,Maps to,20150918,20991231,NA,OMOP
44503108,44503108,Maps to,20150918,20991231,NA,OMOP
44499904,44499904,Maps to,20150918,20991231,NA,OMOP
44502526,44502526,Maps to,20150918,20991231,NA,OMOP
44500531,44500531,Maps to,20150918,20991231,NA,OMOP
44498958,44498958,Maps to,20150918,20991231,NA,OMOP
44502787,44502787,Maps to,20150918,20991231,NA,OMOP
44500773,44500773,Maps to,20150918,20991231,NA,OMOP
44502281,44502281,Maps to,20150918,20991231,NA,OMOP
44500208,44500208,Maps to,20150918,20991231,NA,OMOP
44501668,44501668,Maps to,20150918,20991231,NA,OMOP
44500858,44500858,Maps to,20150918,20991231,NA,OMOP
44500513,44500513,Maps to,20150918,20991231,NA,OMOP
44502788,44502788,Maps to,20150918,20991231,NA,OMOP
44500142,44500142,Maps to,20150918,20991231,NA,OMOP
44502237,44502237,Maps to,20150918,20991231,NA,OMOP
44501861,44501861,Maps to,20150918,20991231,NA,OMOP
44502495,44502495,Maps to,20150918,20991231,NA,OMOP
44501358,44501358,Maps to,20150918,20991231,NA,OMOP
44499732,44499732,Maps to,20150918,20991231,NA,OMOP
